mass,todr
267500,2502.5
267750,2507.7
268000,2512.8
268250,2518
268500,2523.2
268750,2528.3
269000,2533.5
269250,2538.7
269500,2543.8
269750,2549
270000,2554.2
270250,2559.3
270500,2564.5
270750,2569.7
271000,2577.4
271250,2580
271500,2585.2
271750,2591.6
272000,2599.4
272250,2607.2
272500,2614.9
272750,2624
273000,2633
273250,2644.6
273500,2657.6
273750,2670.5
274000,2682.1
274250,2692.4
274500,2701.5
274750,2710.5
275000,2718.3
