starting worker pid=22972 on localhost:11868 at 00:07:07.608
starting worker pid=6560 on localhost:11868 at 00:07:07.752
starting worker pid=24412 on localhost:11868 at 00:07:07.892
starting worker pid=29752 on localhost:11868 at 00:07:08.030
starting worker pid=15224 on localhost:11868 at 00:07:08.167
starting worker pid=14832 on localhost:11868 at 00:07:08.305
starting worker pid=8352 on localhost:11868 at 00:07:08.442
starting worker pid=29080 on localhost:11868 at 00:07:08.579
starting worker pid=26644 on localhost:11868 at 00:07:08.716
starting worker pid=316 on localhost:11868 at 00:07:08.857
starting worker pid=9456 on localhost:11868 at 00:07:08.996
starting worker pid=11256 on localhost:11868 at 00:07:09.135
starting worker pid=2284 on localhost:11868 at 00:07:09.271
starting worker pid=11280 on localhost:11868 at 00:07:09.408
starting worker pid=10616 on localhost:11868 at 00:07:09.545
starting worker pid=5656 on localhost:11868 at 00:07:09.682
starting worker pid=30612 on localhost:11868 at 00:07:09.822
starting worker pid=3048 on localhost:11868 at 00:07:09.959
[1][1][1] "2022-07-04 00:07:11 pid 22972 icao KCOS Loading simulation data"
[1] "2022-07-04 00:17:51 pid  9456 icao KXNA itr   3 t/o = 2,010,288"
[1] "2022-07-04 00:17:53 pid  2284 icao SBPA itr   3 t/o = 2,010,282"
[1] "2022-07-04 00:17:55 pid 26644 icao KPSP itr   3 t/o = 2,010,288"
[1] "2022-07-04 00:17:55 pid 15224 icao KLGB itr   3 t/o = 1,970,207"
[1] "12309 negative accelerations were zeroed out."
[1] "2022-07-04 00:17:56 pid 29080 icao KPHX itr   3 t/o = 2,010,288"
[1] "2022-07-04 00:17:57 pid 11280 icao SBSP itr   3 t/o = 2,010,288"
[1] "2022-07-04 00:17:58 pid  6560 icao KDCA itr   3 t/o = 2,010,282"
[1] "2022-07-04 00:17:58 pid 14832 icao KMDW itr   3 t/o = 2,010,288"
[1] "2022-07-04 00:17:59 pid 22972 icao KCOS itr   3 t/o = 2,010,288"
[1] "2022-07-04 00:18:18 pid  8352 icao KMFR itr   4 t/o = 1,197,386"
[1] "2022-07-04 00:18:36 pid  3048 icao VTSS itr   4 t/o = 1,478,823"
[1] "2022-07-04 00:18:39 pid 10616 icao SKCL itr   4 t/o = 1,507,716"
[1] "2022-07-04 00:18:41 pid 11256 icao LBBG itr   4 t/o = 1,473,868"
[1] "2022-07-04 00:18:58 pid 24412 icao KELP itr   4 t/o = 1,624,104"
[1] "2022-07-04 00:19:04 pid 30612 icao VEBS itr   4 t/o = 1,764,338"
[1] "2022-07-04 00:19:12 pid  8352 icao KMFR itr   5 t/o = 1,153,741"
[1] "2022-07-04 00:19:20 pid 29752 icao KEWR itr   4 t/o = 1,878,812"
[1] "2022-07-04 00:19:22 pid  5656 icao VEAT itr   4 t/o = 1,950,402"
[1] "2022-07-04 00:19:27 pid   316 icao KSAN itr   4 t/o = 2,010,288"
