starting worker pid=22776 on localhost:11680 at 13:28:22.551
starting worker pid=25508 on localhost:11680 at 13:28:22.704
starting worker pid=21112 on localhost:11680 at 13:28:22.851
starting worker pid=32 on localhost:11680 at 13:28:22.997
starting worker pid=11160 on localhost:11680 at 13:28:23.146
starting worker pid=14816 on localhost:11680 at 13:28:23.294
starting worker pid=27184 on localhost:11680 at 13:28:23.448
starting worker pid=13892 on localhost:11680 at 13:28:23.595
starting worker pid=15560 on localhost:11680 at 13:28:23.743
starting worker pid=20020 on localhost:11680 at 13:28:23.889
starting worker pid=26864 on localhost:11680 at 13:28:24.036
starting worker pid=8316 on localhost:11680 at 13:28:24.183
starting worker pid=25492 on localhost:11680 at 13:28:24.332
starting worker pid=10420 on localhost:11680 at 13:28:24.483
starting worker pid=11688 on localhost:11680 at 13:28:24.629
starting worker pid=24912 on localhost:11680 at 13:28:24.778
starting worker pid=26724 on localhost:11680 at 13:28:24.924
starting worker pid=3160 on localhost:11680 at 13:28:25.071
[1][1] "2022-07-03 13:28:26 pid 13892 icao LEJR Loading simulation data"ta"

22-07-03 13:28:26 pid 22776 icao KCLE Loading simulation data" "2022-07-03 13:28:26 pid 11160 icao KPIT Loading simulation data"
 "2022-07-03 13:28:26 pid 27184 icao LBWN Loading simulation data"
 "2022-07-03 13:28:26 pid 21112 icao KICT Loading simulation data"
[1] "2022-07-03 13:39:54 pid 11160 icao KPIT itr   3 t/o = 1,668,323"
[1] "2022-07-03 13:39:56 pid 11688 icao VISR itr   3 t/o = 1,628,816"
[1] "2022-07-03 13:40:01 pid 13892 icao LEJR itr   3 t/o = 1,759,537"
[1] "2022-07-03 13:40:06 pid 21112 icao KICT itr   3 t/o = 1,923,912"
[1] "2022-07-03 13:40:10 pid 22776 icao KCLE itr   3 t/o = 2,008,018"
[1] "2022-07-03 13:40:11 pid 25492 icao SKMR itr   3 t/o = 2,010,170"
[1] "796544 negative accelerations were zeroed out."
[1] "2022-07-03 13:40:15 pid 14816 icao KSAT itr   3 t/o = 2,010,288"
[1] "2022-07-03 13:40:16 pid 25508 icao KDSM itr   3 t/o = 2,008,156"
[1] "2022-07-03 13:40:17 pid 26864 icao RPMY itr   3 t/o = 2,010,031"
[1] "2022-07-03 13:40:18 pid    32 icao KMEM itr   3 t/o = 2,010,288"
[1] "2022-07-03 13:40:22 pid 27184 icao LBWN itr   6 t/o =   519,882"
[1] "2022-07-03 13:40:39 pid 24912 icao VTUK itr   4 t/o = 1,268,365"
[1] "2022-07-03 13:40:42 pid  8316 icao SBRF itr   4 t/o = 1,311,261"
[1] "2022-07-03 13:40:46 pid 27184 icao LBWN itr   7 t/o =   511,151"
[1] "2022-07-03 13:40:56 pid  3160 icao ZHCC itr   4 t/o = 1,402,811"
[1] "2022-07-03 13:41:00 pid 15560 icao MSLP itr   4 t/o = 1,507,712"
[1] "2022-07-03 13:41:01 pid 20020 icao OEJN itr   4 t/o = 1,451,036"
[1] "2022-07-03 13:41:06 pid 10420 icao VCBI itr   4 t/o = 1,506,740"
[1] "2022-07-03 13:41:07 pid 26724 icao WIDD itr   4 t/o = 1,507,716"
