year,exp,type,thr_avg
2094,ssp126,Widebody,0.900243405737541
2094,ssp245,Narrowbody,0.856465172773758
2094,ssp245,Widebody,0.900506588524329
2094,ssp370,Narrowbody,0.857322861841708
2094,ssp370,Widebody,0.901760603831555
2094,ssp585,Narrowbody,0.857785507404736
2094,ssp585,Widebody,0.902538503063798
2095,ssp126,Narrowbody,0.856169532284127
2095,ssp126,Widebody,0.899985125583062
2095,ssp245,Narrowbody,0.856507709451339
2095,ssp245,Widebody,0.900638290288909
2095,ssp370,Narrowbody,0.85740683407418
2095,ssp370,Widebody,0.901846239162104
2095,ssp585,Narrowbody,0.85774519812593
2095,ssp585,Widebody,0.902362583985484
2096,ssp126,Narrowbody,0.856036535282603
2096,ssp126,Widebody,0.899810552442641
2096,ssp245,Narrowbody,0.856238304186195
2096,ssp245,Widebody,0.900083185491755
2096,ssp370,Narrowbody,0.857226240579034
2096,ssp370,Widebody,0.901601673765862
2096,ssp585,Narrowbody,0.857561397027343
2096,ssp585,Widebody,0.902059992831902
2097,ssp126,Narrowbody,0.855907222333338
2097,ssp126,Widebody,0.899743758544369
2097,ssp245,Narrowbody,0.856619806262548
2097,ssp245,Widebody,0.900788434797595
2097,ssp370,Narrowbody,0.856987759120371
2097,ssp370,Widebody,0.901178145106999
2097,ssp585,Narrowbody,0.857726658886972
2097,ssp585,Widebody,0.902378640726979
2098,ssp126,Narrowbody,0.855688207077579
2098,ssp126,Widebody,0.899293156254003
2098,ssp245,Narrowbody,0.856221753237436
2098,ssp245,Widebody,0.900060543190161
2098,ssp370,Narrowbody,0.857357231813258
2098,ssp370,Widebody,0.901813507248985
2098,ssp585,Narrowbody,0.857915868421019
2098,ssp585,Widebody,0.90262796582667
2099,ssp126,Narrowbody,0.855907501529212
2099,ssp126,Widebody,0.899580615127543
2099,ssp245,Narrowbody,0.85630353969582
2099,ssp245,Widebody,0.900287617181918
2099,ssp370,Narrowbody,0.857116983524578
2099,ssp370,Widebody,0.901378980734289
2099,ssp585,Narrowbody,0.857726977938147
2099,ssp585,Widebody,0.902130533383931
2100,ssp126,Narrowbody,0.856001373435831
2100,ssp126,Widebody,0.899789945804878
2100,ssp245,Narrowbody,0.856402957085777
2100,ssp245,Widebody,0.900162687181618
2100,ssp370,Narrowbody,0.857343514417902
2100,ssp370,Widebody,0.901855065807571
2100,ssp585,Narrowbody,0.857822329035212
2100,ssp585,Widebody,0.90251147266942
