year,exp,type,thr_avg
2030,ssp585,Narrowbody,0.856233249703355
2030,ssp585,Widebody,0.900214398628726
2031,ssp126,Narrowbody,0.855775506371731
2031,ssp126,Widebody,0.899429430911134
2031,ssp245,Narrowbody,0.855935367993176
2031,ssp245,Widebody,0.899667999660795
2031,ssp370,Narrowbody,0.855864575050939
2031,ssp370,Widebody,0.899420609468338
2031,ssp585,Narrowbody,0.855770336560648
2031,ssp585,Widebody,0.899096409302877
2032,ssp126,Narrowbody,0.855965360728084
2032,ssp126,Widebody,0.899737115394587
2032,ssp245,Narrowbody,0.855928339263705
2032,ssp245,Widebody,0.899506170864365
2032,ssp370,Narrowbody,0.85578460781306
2032,ssp370,Widebody,0.89948642683871
2032,ssp585,Narrowbody,0.855845444455112
2032,ssp585,Widebody,0.899547335307065
2033,ssp126,Narrowbody,0.855871217709624
2033,ssp126,Widebody,0.899601270249217
2033,ssp245,Narrowbody,0.856166994679622
2033,ssp245,Widebody,0.900084917495522
2033,ssp370,Narrowbody,0.856393678862942
2033,ssp370,Widebody,0.900550296893731
2033,ssp585,Narrowbody,0.855939690368531
2033,ssp585,Widebody,0.899664921528544
2034,ssp126,Narrowbody,0.855818048636369
2034,ssp126,Widebody,0.899556425564891
2034,ssp245,Narrowbody,0.856221313267667
2034,ssp245,Widebody,0.900155874651278
2034,ssp370,Narrowbody,0.855984738205671
2034,ssp370,Widebody,0.899743996499191
2034,ssp585,Narrowbody,0.856134530837957
2034,ssp585,Widebody,0.899998273518096
2035,ssp126,Narrowbody,0.855913390915797
2035,ssp126,Widebody,0.899567793873882
2035,ssp245,Narrowbody,0.855936824543153
2035,ssp245,Widebody,0.899731886271552
2035,ssp370,Narrowbody,0.856115336671957
2035,ssp370,Widebody,0.899838336936751
2035,ssp585,Narrowbody,0.856238893891836
2035,ssp585,Widebody,0.899913408013905
2036,ssp126,Narrowbody,0.855834935907722
2036,ssp126,Widebody,0.899427005067973
2036,ssp245,Narrowbody,0.855786724861787
2036,ssp245,Widebody,0.899433909245042
2036,ssp370,Narrowbody,0.855864582336178
2036,ssp370,Widebody,0.89969094080835
2036,ssp585,Narrowbody,0.855881748348472
2036,ssp585,Widebody,0.899445797805828
2037,ssp126,Narrowbody,0.855677416216881
2037,ssp126,Widebody,0.899141937398369
2037,ssp245,Narrowbody,0.856035770696875
2037,ssp245,Widebody,0.89988883197024
2037,ssp370,Narrowbody,0.856012255042278
2037,ssp370,Widebody,0.899911293331073
2037,ssp585,Narrowbody,0.855915485696273
2037,ssp585,Widebody,0.899692894544543
2038,ssp126,Narrowbody,0.856231150644051
2038,ssp126,Widebody,0.90007648845625
2038,ssp245,Narrowbody,0.855917537077267
2038,ssp245,Widebody,0.899698170130063
2038,ssp370,Narrowbody,0.855972379794983
2038,ssp370,Widebody,0.899750628110513
2038,ssp585,Narrowbody,0.856228974193909
2038,ssp585,Widebody,0.900018566913523
2039,ssp126,Narrowbody,0.856049213076708
2039,ssp126,Widebody,0.899865609769327
2039,ssp245,Narrowbody,0.856009561458065
2039,ssp245,Widebody,0.899544480791616
2039,ssp370,Narrowbody,0.856120717317722
2039,ssp370,Widebody,0.899877169486844
2039,ssp585,Narrowbody,0.855795444566646
2039,ssp585,Widebody,0.899308930323507
2040,ssp126,Narrowbody,0.856116194418712
2040,ssp126,Widebody,0.899792227672225
2040,ssp245,Narrowbody,0.855926477472408
2040,ssp245,Widebody,0.899507673369849
2040,ssp370,Narrowbody,0.856305477871352
2040,ssp370,Widebody,0.900148131781551
2040,ssp585,Narrowbody,0.855944772140421
2040,ssp585,Widebody,0.899788494325998
2041,ssp126,Narrowbody,0.856059378512577
2041,ssp126,Widebody,0.899843678384687
2041,ssp245,Narrowbody,0.855848409902565
2041,ssp245,Widebody,0.899406017389594
2041,ssp370,Narrowbody,0.855918649270942
2041,ssp370,Widebody,0.899755461469483
2041,ssp585,Narrowbody,0.856293321554526
2041,ssp585,Widebody,0.900194894154776
2042,ssp126,Narrowbody,0.855822242545595
2042,ssp126,Widebody,0.899475876141506
2042,ssp245,Narrowbody,0.855873679735589
2042,ssp245,Widebody,0.899477864639517
2042,ssp370,Narrowbody,0.856198422054922
2042,ssp370,Widebody,0.900061077907327
2042,ssp585,Narrowbody,0.856259254598178
2042,ssp585,Widebody,0.900261222629579
2043,ssp126,Narrowbody,0.855951407327746
2043,ssp126,Widebody,0.899782966461433
2043,ssp245,Narrowbody,0.855788525218046
2043,ssp245,Widebody,0.899243503746657
2043,ssp370,Narrowbody,0.85610048154039
2043,ssp370,Widebody,0.900024340995799
2043,ssp585,Narrowbody,0.85613270029102
2043,ssp585,Widebody,0.900006564836851
2044,ssp126,Narrowbody,0.855954824693539
2044,ssp126,Widebody,0.899657423228398
2044,ssp245,Narrowbody,0.855859159012359
2044,ssp245,Widebody,0.899603182590016
2044,ssp370,Narrowbody,0.856013210681357
2044,ssp370,Widebody,0.899846658152137
2044,ssp585,Narrowbody,0.856197326963146
2044,ssp585,Widebody,0.900065576351632
2045,ssp126,Narrowbody,0.85610275878384
2045,ssp126,Widebody,0.899865358100628
2045,ssp245,Narrowbody,0.855956975772462
2045,ssp245,Widebody,0.899695947695236
2045,ssp370,Narrowbody,0.855832493122933
2045,ssp370,Widebody,0.899451106530791
2045,ssp585,Narrowbody,0.856054221094899
2045,ssp585,Widebody,0.899740556833332
2046,ssp126,Narrowbody,0.856403704496909
2046,ssp126,Widebody,0.900371362169208
2046,ssp245,Narrowbody,0.856198102161332
2046,ssp245,Widebody,0.89997671363195
2046,ssp370,Narrowbody,0.856269985893285
2046,ssp370,Widebody,0.900082833305167
2046,ssp585,Narrowbody,0.855701616151994
2046,ssp585,Widebody,0.899093080488717
2047,ssp126,Narrowbody,0.856007096738459
2047,ssp126,Widebody,0.900027945354507
2047,ssp245,Narrowbody,0.856305785085958
2047,ssp245,Widebody,0.900416153248511
2047,ssp370,Narrowbody,0.856163204208175
2047,ssp370,Widebody,0.899948021046459
2047,ssp585,Narrowbody,0.856170698358163
2047,ssp585,Widebody,0.900031994236056
2048,ssp126,Narrowbody,0.855718467220346
2048,ssp126,Widebody,0.899142137052107
2048,ssp245,Narrowbody,0.856015952960475
2048,ssp245,Widebody,0.899738980499608
2048,ssp370,Narrowbody,0.855798558018823
2048,ssp370,Widebody,0.899409440728836
2048,ssp585,Narrowbody,0.856390239795655
2048,ssp585,Widebody,0.900348847893027
2049,ssp126,Narrowbody,0.855962492459191
2049,ssp126,Widebody,0.899647016770859
2049,ssp245,Narrowbody,0.855980794825052
2049,ssp245,Widebody,0.899759746169019
2049,ssp370,Narrowbody,0.856119578195129
2049,ssp370,Widebody,0.899867235859974
2049,ssp585,Narrowbody,0.856705246144959
2049,ssp585,Widebody,0.900757624996801
2050,ssp126,Narrowbody,0.855936647224103
2050,ssp126,Widebody,0.899707118299046
2050,ssp245,Narrowbody,0.856048829550709
2050,ssp245,Widebody,0.899876441306271
2050,ssp370,Narrowbody,0.856591436777718
2050,ssp370,Widebody,0.900706790437417
2050,ssp585,Narrowbody,0.856193104192879
2050,ssp585,Widebody,0.899983471405141
2051,ssp126,Narrowbody,0.855991359953172
2051,ssp126,Widebody,0.899862142575251
2051,ssp245,Narrowbody,0.856120973934232
2051,ssp245,Widebody,0.899891033471263
2051,ssp370,Narrowbody,0.856590470131545
2051,ssp370,Widebody,0.900640278728685
2051,ssp585,Narrowbody,0.856268836872258
2051,ssp585,Widebody,0.900037196004799
2052,ssp126,Narrowbody,0.855988529507655
2052,ssp126,Widebody,0.899548982490631
2052,ssp245,Narrowbody,0.85613643266404
2052,ssp245,Widebody,0.899907225620071
2052,ssp370,Narrowbody,0.856337546632576
2052,ssp370,Widebody,0.900187318901851
2052,ssp585,Narrowbody,0.856229177246885
2052,ssp585,Widebody,0.90012967807779
2053,ssp126,Narrowbody,0.856076951528395
2053,ssp126,Widebody,0.899729699139211
2053,ssp245,Narrowbody,0.856270480063025
2053,ssp245,Widebody,0.900063049729103
2053,ssp370,Narrowbody,0.856445532229104
2053,ssp370,Widebody,0.90047645545188
