year,exp,type,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
2026,ssp245,Widebody,40218,1017342,778522,1836082,736438,2572520
2026,ssp370,Narrowbody,917488,962469,286758,2166715,405805,2572520
2026,ssp370,Widebody,39335,1016963,778762,1835060,737460,2572520
2026,ssp585,Narrowbody,918523,961880,287691,2168094,404426,2572520
2026,ssp585,Widebody,37930,1020388,780095,1838413,734107,2572520
2027,ssp126,Narrowbody,914375,966588,286444,2167407,405113,2572520
2027,ssp126,Widebody,35687,1019846,780246,1835779,736741,2572520
2027,ssp245,Narrowbody,920446,959478,289691,2169615,402905,2572520
2027,ssp245,Widebody,41736,1015589,780890,1838215,734305,2572520
2027,ssp370,Narrowbody,918244,960896,287729,2166869,405651,2572520
2027,ssp370,Widebody,40647,1012820,782023,1835490,737030,2572520
2027,ssp585,Narrowbody,920531,960610,288149,2169290,403230,2572520
2027,ssp585,Widebody,39837,1017374,781693,1838904,733616,2572520
2028,ssp126,Narrowbody,917283,968842,287635,2173760,405808,2579568
2028,ssp126,Widebody,37168,1021443,781830,1840441,739127,2579568
2028,ssp245,Narrowbody,921312,964387,288654,2174353,405215,2579568
2028,ssp245,Widebody,40871,1018146,783489,1842506,737062,2579568
2028,ssp370,Narrowbody,922137,963903,289397,2175437,404131,2579568
2028,ssp370,Widebody,39675,1019605,784418,1843698,735870,2579568
2028,ssp585,Narrowbody,920010,967370,288144,2175524,404044,2579568
2028,ssp585,Widebody,37660,1022988,782376,1843024,736544,2579568
2029,ssp126,Narrowbody,917789,962679,288241,2168709,403811,2572520
2029,ssp126,Widebody,38659,1014865,782259,1835783,736737,2572520
2029,ssp245,Narrowbody,910660,968180,287367,2166207,406313,2572520
2029,ssp245,Widebody,36201,1015696,779206,1831103,741417,2572520
2029,ssp370,Narrowbody,917063,963187,287649,2167899,404621,2572520
2029,ssp370,Widebody,37539,1017077,782008,1836624,735896,2572520
2029,ssp585,Narrowbody,916843,964566,286711,2168120,404400,2572520
2029,ssp585,Widebody,36963,1019563,780747,1837273,735247,2572520
2030,ssp126,Narrowbody,922013,958537,289283,2169833,402687,2572520
2030,ssp126,Widebody,42728,1014444,782017,1839189,733331,2572520
2030,ssp245,Narrowbody,913670,966712,287211,2167593,404927,2572520
2030,ssp245,Widebody,37965,1016880,779500,1834345,738175,2572520
2030,ssp370,Narrowbody,916774,965022,286214,2168010,404510,2572520
2030,ssp370,Widebody,37490,1019770,780229,1837489,735031,2572520
2030,ssp585,Narrowbody,911878,968124,286513,2166515,406005,2572520
2030,ssp585,Widebody,36476,1016624,780472,1833572,738948,2572520
2031,ssp126,Narrowbody,917324,964541,289093,2170958,401562,2572520
2031,ssp126,Widebody,38434,1018814,781588,1838836,733684,2572520
2031,ssp245,Narrowbody,916370,964601,287059,2168030,404490,2572520
2031,ssp245,Widebody,39240,1018156,778169,1835565,736955,2572520
2031,ssp370,Narrowbody,914984,964172,287512,2166668,405852,2572520
2031,ssp370,Widebody,38393,1016854,778204,1833451,739069,2572520
2031,ssp585,Narrowbody,920394,958077,287879,2166350,406170,2572520
2031,ssp585,Widebody,41062,1012686,783063,1836811,735709,2572520
2032,ssp126,Narrowbody,918473,966519,287463,2172455,407113,2579568
2032,ssp126,Widebody,39076,1017779,782944,1839799,739769,2579568
2032,ssp245,Narrowbody,917734,967064,289664,2174462,405106,2579568
2032,ssp245,Widebody,39212,1019714,781492,1840418,739150,2579568
2032,ssp370,Narrowbody,920020,966654,289379,2176053,403515,2579568
2032,ssp370,Widebody,38501,1021075,783384,1842960,736608,2579568
2032,ssp585,Narrowbody,918871,966662,287522,2173055,406513,2579568
2032,ssp585,Widebody,39865,1019197,781408,1840470,739098,2579568
2033,ssp126,Narrowbody,915938,965251,287413,2168602,403918,2572520
2033,ssp126,Widebody,37635,1018901,780925,1837461,735059,2572520
2033,ssp245,Narrowbody,912738,965917,287655,2166310,406210,2572520
2033,ssp245,Widebody,37280,1016943,779542,1833765,738755,2572520
2033,ssp370,Narrowbody,906941,971913,286319,2165173,407347,2572520
2033,ssp370,Widebody,34935,1016926,777245,1829106,743414,2572520
2033,ssp585,Narrowbody,916493,964412,287614,2168519,404001,2572520
2033,ssp585,Widebody,37821,1019433,779949,1837203,735317,2572520
2034,ssp126,Narrowbody,919124,962940,287315,2169379,403141,2572520
2034,ssp126,Widebody,38381,1017849,781852,1838082,734438,2572520
2034,ssp245,Narrowbody,913687,966340,287366,2167393,405127,2572520
2034,ssp245,Widebody,37334,1015481,781778,1834593,737927,2572520
2034,ssp370,Narrowbody,915897,964847,287433,2168177,404343,2572520
2034,ssp370,Widebody,38368,1016658,781245,1836271,736249,2572520
2034,ssp585,Narrowbody,912643,967292,287594,2167529,404991,2572520
2034,ssp585,Widebody,36237,1020661,777659,1834557,737963,2572520
2035,ssp126,Narrowbody,919233,960921,288356,2168510,404010,2572520
2035,ssp126,Widebody,39662,1015673,782012,1837347,735173,2572520
2035,ssp245,Narrowbody,915369,963817,287622,2166808,405712,2572520
2035,ssp245,Widebody,39886,1014983,778279,1833148,739372,2572520
2035,ssp370,Narrowbody,913906,965620,286439,2165965,406555,2572520
2035,ssp370,Widebody,37228,1016995,780330,1834553,737967,2572520
2035,ssp585,Narrowbody,910148,969172,286348,2165668,406852,2572520
2035,ssp585,Widebody,36827,1017126,777041,1830994,741526,2572520
2036,ssp126,Narrowbody,920133,963938,290322,2174393,405175,2579568
2036,ssp126,Widebody,40701,1018602,780320,1839623,739945,2579568
2036,ssp245,Narrowbody,923493,962549,289117,2175159,404409,2579568
2036,ssp245,Widebody,41799,1016941,785599,1844339,735229,2579568
2036,ssp370,Narrowbody,918462,967975,287271,2173708,405860,2579568
2036,ssp370,Widebody,38907,1019850,781869,1840626,738942,2579568
2036,ssp585,Narrowbody,919646,967006,287250,2173902,405666,2579568
2036,ssp585,Widebody,38401,1021413,781664,1841478,738090,2579568
2037,ssp126,Narrowbody,920369,960087,287774,2168230,404290,2572520
2037,ssp126,Widebody,41494,1015969,780366,1837829,734691,2572520
2037,ssp245,Narrowbody,914647,965049,286963,2166659,405861,2572520
2037,ssp245,Widebody,37689,1017474,779816,1834979,737541,2572520
2037,ssp370,Narrowbody,915388,965778,286497,2167663,404857,2572520
2037,ssp370,Widebody,36951,1019146,780016,1836113,736407,2572520
2037,ssp585,Narrowbody,914808,965871,287276,2167955,404565,2572520
2037,ssp585,Widebody,37323,1019904,779489,1836716,735804,2572520
