year,exp,type,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
2100,ssp126,B39m,14689,493415,512790,1020894,265366,1286260
2100,ssp126,B789,22638,525549,265928,814115,472145,1286260
2100,ssp245,A20n,830003,315933,55060,1200996,85264,1286260
2100,ssp245,A359,76983,654383,230519,961885,324375,1286260
2100,ssp245,B39m,14273,492597,511573,1018443,267817,1286260
2100,ssp245,B789,21730,525972,260925,808627,477633,1286260
2100,ssp370,A20n,822618,321775,55203,1199596,86664,1286260
2100,ssp370,A359,72202,654212,228478,954892,331368,1286260
2100,ssp370,B39m,12860,487270,513786,1013916,272344,1286260
2100,ssp370,B789,20117,521781,258894,800792,485468,1286260
2100,ssp585,A20n,817075,327042,54898,1199015,87245,1286260
2100,ssp585,A359,69326,656128,224978,950432,335828,1286260
2100,ssp585,B39m,12897,486135,512469,1011501,274759,1286260
2100,ssp585,B789,19878,521210,253990,795078,491182,1286260
