year,exp,type,cnt,thr_red_avg,thr_avg
2022,ssp126,Widebody,967909,11.4101,0.885899
2022,ssp126,Narrowbody,1022362,6.01091,0.9398909
2022,ssp126,Widebody,818606,8.54455,0.9145545
2022,ssp245,Narrowbody,1201428,21.5935,0.784065
2022,ssp245,Widebody,965608,11.323,0.88677
2022,ssp245,Narrowbody,1020535,5.92736,0.9407264
2022,ssp245,Widebody,812745,8.48348,0.9151652
2022,ssp370,Narrowbody,1202127,21.6054,0.783946
2022,ssp370,Widebody,966942,11.3681,0.886319
2022,ssp370,Narrowbody,1022214,5.97275,0.9402725
2022,ssp370,Widebody,814961,8.53016,0.9146984
2022,ssp585,Narrowbody,1201886,21.6083,0.783917
2022,ssp585,Widebody,966346,11.3124,0.886876
2022,ssp585,Narrowbody,1021683,5.91388,0.9408612
2022,ssp585,Widebody,813327,8.47023,0.9152977
2023,ssp126,Narrowbody,1201664,21.5806,0.784194
2023,ssp126,Widebody,964338,11.2824,0.887176
2023,ssp126,Narrowbody,1019845,5.89385,0.9410615
2023,ssp126,Widebody,810854,8.44689,0.9155311
2023,ssp245,Narrowbody,1202169,21.6242,0.783758
2023,ssp245,Widebody,968249,11.389,0.88611
2023,ssp245,Narrowbody,1022371,5.9837,0.940163
2023,ssp245,Widebody,817218,8.53426,0.9146574
2023,ssp370,Narrowbody,1202168,21.6101,0.783899
2023,ssp370,Widebody,967942,11.4127,0.885873
2023,ssp370,Narrowbody,1021991,6.01537,0.9398463
2023,ssp370,Widebody,817393,8.55628,0.9144372
2023,ssp585,Narrowbody,1201703,21.6142,0.783858
2023,ssp585,Widebody,966766,11.3639,0.886361
2023,ssp585,Narrowbody,1021695,5.97192,0.9402808
2023,ssp585,Widebody,814786,8.52218,0.9147782
2024,ssp126,Narrowbody,1205082,21.5992,0.784008
2024,ssp126,Widebody,967516,11.3056,0.886944
2024,ssp126,Narrowbody,1024310,5.89218,0.9410782
2024,ssp126,Widebody,815384,8.43574,0.9156426
2024,ssp245,Narrowbody,1205541,21.5987,0.784013
2024,ssp245,Widebody,968779,11.3468,0.886532
2024,ssp245,Narrowbody,1025036,5.93189,0.9406811
2024,ssp245,Widebody,816790,8.49025,0.9150975
2024,ssp370,Narrowbody,1205670,21.6142,0.783858
2024,ssp370,Widebody,970991,11.3795,0.886205
2024,ssp370,Narrowbody,1025354,5.98481,0.9401519
2024,ssp370,Widebody,818316,8.53598,0.9146402
2024,ssp585,Narrowbody,1205222,21.6075,0.783925
2024,ssp585,Widebody,970362,11.3659,0.886341
2024,ssp585,Narrowbody,1024827,5.97872,0.9402128
2024,ssp585,Widebody,819221,8.51821,0.9148179
2025,ssp126,Narrowbody,1201914,21.5923,0.784077
2025,ssp126,Widebody,966254,11.3531,0.886469
2025,ssp126,Narrowbody,1021069,5.96149,0.9403851
2025,ssp126,Widebody,814226,8.51587,0.9148413
2025,ssp245,Narrowbody,1202164,21.5958,0.784042
2025,ssp245,Widebody,965949,11.3832,0.886168
2025,ssp245,Narrowbody,1021298,5.97208,0.9402792
2025,ssp245,Widebody,816069,8.51488,0.9148512
2025,ssp370,Narrowbody,1202515,21.6022,0.783978
2025,ssp370,Widebody,967201,11.3557,0.886443
2025,ssp370,Narrowbody,1021831,5.95083,0.9404917
2025,ssp370,Widebody,815827,8.49601,0.9150399
2025,ssp585,Narrowbody,1201399,21.6073,0.783927
2025,ssp585,Widebody,966800,11.3835,0.886165
2025,ssp585,Narrowbody,1021671,5.98345,0.9401655
2025,ssp585,Widebody,815347,8.53634,0.9146366
2026,ssp126,Narrowbody,1201707,21.605,0.78395
2026,ssp126,Widebody,967459,11.3673,0.886327
2026,ssp126,Narrowbody,1021388,5.97479,0.9402521
2026,ssp126,Widebody,814925,8.53242,0.9146758
2026,ssp245,Narrowbody,1201863,21.6014,0.783986
2026,ssp245,Widebody,968014,11.3751,0.886249
2026,ssp245,Narrowbody,1021068,5.99298,0.9400702
2026,ssp245,Widebody,815014,8.55501,0.9144499
2026,ssp370,Narrowbody,1201214,21.5944,0.784056
2026,ssp370,Widebody,965501,11.3786,0.886214
2026,ssp370,Narrowbody,1020250,5.98073,0.9401927
2026,ssp370,Widebody,814810,8.52198,0.9147802
2026,ssp585,Narrowbody,1201333,21.617,0.78383
2026,ssp585,Widebody,966761,11.3842,0.886158
2026,ssp585,Narrowbody,1021686,5.96989,0.9403011
2026,ssp585,Widebody,816727,8.50796,0.9149204
2027,ssp126,Narrowbody,1201354,21.6117,0.783883
2027,ssp126,Widebody,966053,11.3189,0.886811
2027,ssp126,Narrowbody,1021119,5.91405,0.9408595
2027,ssp126,Widebody,814660,8.44953,0.9155047
2027,ssp245,Narrowbody,1202023,21.6045,0.783955
2027,ssp245,Widebody,967592,11.3974,0.886026
2027,ssp245,Narrowbody,1021766,6.00349,0.9399651
2027,ssp245,Widebody,816449,8.55636,0.9144364
2027,ssp370,Narrowbody,1201439,21.5967,0.784033
2027,ssp370,Widebody,965430,11.3543,0.886457
2027,ssp370,Narrowbody,1021021,5.95364,0.9404636
2027,ssp370,Widebody,814469,8.50428,0.9149572
2027,ssp585,Narrowbody,1202136,21.6067,0.783933
2027,ssp585,Widebody,967154,11.3983,0.886017
2027,ssp585,Narrowbody,1021475,5.99111,0.9400889
2027,ssp585,Widebody,817429,8.52281,0.9147719
2028,ssp126,Narrowbody,1205247,21.5953,0.784047
2028,ssp126,Widebody,968513,11.3346,0.886654
2028,ssp126,Narrowbody,1023977,5.92467,0.9407533
2028,ssp126,Widebody,816464,8.47356,0.9152644
2028,ssp245,Narrowbody,1205211,21.6043,0.783957
2028,ssp245,Widebody,969142,11.3708,0.886292
2028,ssp245,Narrowbody,1024783,5.97649,0.9402351
2028,ssp245,Widebody,817723,8.52165,0.9147835
2028,ssp370,Narrowbody,1205260,21.6103,0.783897
2028,ssp370,Widebody,970177,11.3719,0.886281
2028,ssp370,Narrowbody,1024982,5.97912,0.9402088
2028,ssp370,Widebody,818716,8.51715,0.9148285
2028,ssp585,Narrowbody,1205304,21.6199,0.783801
2028,ssp585,Widebody,970220,11.3552,0.886448
2028,ssp585,Narrowbody,1024854,5.95499,0.9404501
2028,ssp585,Widebody,818170,8.49862,0.9150138
2029,ssp126,Narrowbody,1202344,21.5948,0.784052
2029,ssp126,Widebody,966365,11.3544,0.886456
2029,ssp126,Narrowbody,1020535,5.96009,0.9403991
2029,ssp126,Widebody,815248,8.49791,0.9150209
2029,ssp245,Narrowbody,1201536,21.5844,0.784156
2029,ssp245,Widebody,964671,11.2886,0.887114
2029,ssp245,Narrowbody,1020416,5.90368,0.9409632
2029,ssp245,Widebody,810687,8.4617,0.915383
2029,ssp370,Narrowbody,1201718,21.6015,0.783985
2029,ssp370,Widebody,966181,11.3512,0.886488
2029,ssp370,Narrowbody,1021220,5.94787,0.9405213
2029,ssp370,Widebody,815404,8.48876,0.9151124
2029,ssp585,Narrowbody,1201722,21.6079,0.783921
2029,ssp585,Widebody,966398,11.3495,0.886505
2029,ssp585,Narrowbody,1021391,5.94568,0.9405432
2029,ssp585,Widebody,815882,8.47733,0.9152267
2030,ssp126,Narrowbody,1201882,21.6106,0.783894
2030,ssp126,Widebody,967951,11.3977,0.886023
2030,ssp126,Narrowbody,1022304,6.00491,0.9399509
2030,ssp126,Widebody,816885,8.55921,0.9144079
2030,ssp245,Narrowbody,1201334,21.602,0.78398
2030,ssp245,Widebody,966259,11.3102,0.886898
2030,ssp245,Narrowbody,1021123,5.92453,0.9407547
2030,ssp245,Widebody,813222,8.47591,0.9152409
2030,ssp370,Narrowbody,1201745,21.6099,0.783901
2030,ssp370,Widebody,966265,11.3503,0.886497
2030,ssp370,Narrowbody,1021669,5.93221,0.9406779
2030,ssp370,Widebody,815820,8.47644,0.9152356
2030,ssp585,Narrowbody,1201996,21.5865,0.784135
2030,ssp585,Widebody,964519,11.2849,0.887151
2030,ssp585,Narrowbody,1020693,5.88617,0.9411383
2030,ssp585,Widebody,812879,8.42851,0.9157149
2031,ssp126,Narrowbody,1202327,21.6182,0.783818
2031,ssp126,Widebody,968631,11.3567,0.886433
2031,ssp126,Narrowbody,1022767,5.96335,0.9403665
2031,ssp126,Widebody,816069,8.51444,0.9148556
2031,ssp245,Narrowbody,1201616,21.6028,0.783972
2031,ssp245,Widebody,966414,11.3303,0.886697
2031,ssp245,Narrowbody,1021638,5.94243,0.9405757
2031,ssp245,Widebody,813927,8.49313,0.9150687
2031,ssp370,Narrowbody,1201224,21.5973,0.784027
2031,ssp370,Widebody,965444,11.3532,0.886468
2031,ssp370,Narrowbody,1020547,5.95794,0.9404206
2031,ssp370,Widebody,812904,8.51962,0.9148038
2031,ssp585,Narrowbody,1201499,21.5918,0.784082
2031,ssp585,Widebody,964851,11.4047,0.885953
2031,ssp585,Narrowbody,1021030,5.987,0.94013
2031,ssp585,Widebody,815781,8.53583,0.9146417
2032,ssp126,Narrowbody,1204575,21.5984,0.784016
2032,ssp126,Widebody,967880,11.3376,0.886624
2032,ssp126,Narrowbody,1023409,5.93492,0.9406508
2032,ssp126,Widebody,816390,8.47162,0.9152838
2032,ssp245,Narrowbody,1205355,21.5923,0.784077
2032,ssp245,Widebody,969107,11.3415,0.886585
2032,ssp245,Narrowbody,1024539,5.95404,0.9404596
2032,ssp245,Widebody,815879,8.5146,0.914854
2032,ssp370,Narrowbody,1205388,21.6195,0.783805
2032,ssp370,Widebody,970665,11.3481,0.886519
2032,ssp370,Narrowbody,1025428,5.96032,0.9403968
2032,ssp370,Widebody,817532,8.51172,0.9148828
2032,ssp585,Narrowbody,1204575,21.6025,0.783975
2032,ssp585,Widebody,968480,11.3507,0.886493
2032,ssp585,Narrowbody,1023432,5.95635,0.9404365
2032,ssp585,Widebody,817038,8.49786,0.9150214
2033,ssp126,Narrowbody,1201634,21.6149,0.783851
2033,ssp126,Widebody,966968,11.3454,0.886546
2033,ssp126,Narrowbody,1022123,5.94605,0.9405395
2033,ssp126,Widebody,815338,8.49149,0.9150851
2033,ssp245,Narrowbody,1201247,21.5907,0.784093
2033,ssp245,Widebody,965063,11.2946,0.887054
2033,ssp245,Narrowbody,1020813,5.90192,0.9409808
2033,ssp245,Widebody,812952,8.44458,0.9155542
2033,ssp370,Narrowbody,1201231,21.5833,0.784167
2033,ssp370,Widebody,963942,11.2372,0.887628
2033,ssp370,Narrowbody,1019570,5.85109,0.9414891
2033,ssp370,Widebody,809536,8.40622,0.9159378
2033,ssp585,Narrowbody,1202139,21.594,0.78406
2033,ssp585,Widebody,966380,11.3499,0.886501
2033,ssp585,Narrowbody,1020959,5.94254,0.9405746
2033,ssp585,Widebody,816244,8.47502,0.9152498
2034,ssp126,Narrowbody,1202261,21.6122,0.783878
2034,ssp126,Widebody,967118,11.3546,0.886454
2034,ssp126,Narrowbody,1021801,5.95373,0.9404627
2034,ssp126,Widebody,816281,8.49206,0.9150794
2034,ssp245,Narrowbody,1202059,21.5889,0.784111
2034,ssp245,Widebody,965334,11.2885,0.887115
2034,ssp245,Narrowbody,1021218,5.8899,0.941101
2034,ssp245,Widebody,813375,8.43663,0.9156337
2034,ssp370,Narrowbody,1202099,21.598,0.78402
