year,exp,type,zone,todr_avg,todr_avg_loess
2025,ssp585,Narrowbody,Temperate,2934.145,2934.3414133048
2025,ssp585,Widebody,Temperate,3381.025,3379.77597456369
2026,ssp126,Narrowbody,Temperate,2934.055,2933.99702199365
2026,ssp126,Widebody,Temperate,3379.975,3379.4080519537
2026,ssp245,Narrowbody,Temperate,2935.4,2934.29971738686
2026,ssp245,Widebody,Temperate,3382.025,3379.74885079855
2026,ssp370,Narrowbody,Temperate,2935.25,2934.62939825622
2026,ssp370,Widebody,Temperate,3382.425,3380.18750862651
2026,ssp585,Narrowbody,Temperate,2932.83,2934.44117385032
2026,ssp585,Widebody,Temperate,3378.465,3379.84477549508
2027,ssp126,Narrowbody,Temperate,2938.35,2934.07275404461
2027,ssp126,Widebody,Temperate,3381.88,3379.47678669102
2027,ssp245,Narrowbody,Temperate,2931.705,2934.32313621553
2027,ssp245,Widebody,Temperate,3378.945,3379.76118691357
2027,ssp370,Narrowbody,Temperate,2929.805,2934.74894934774
2027,ssp370,Widebody,Temperate,3375.725,3380.26210217568
2027,ssp585,Narrowbody,Temperate,2931.555,2934.55003146211
2027,ssp585,Widebody,Temperate,3377.285,3379.92139358569
2028,ssp126,Narrowbody,Temperate,2934.01,2934.14968776351
2028,ssp126,Widebody,Temperate,3378.665,3379.54727024692
2028,ssp245,Narrowbody,Temperate,2932.785,2934.35097827236
2028,ssp245,Widebody,Temperate,3379.14,3379.77763939696
2028,ssp370,Narrowbody,Temperate,2934.26,2934.87146251446
2028,ssp370,Widebody,Temperate,3380.795,3380.33918709693
2028,ssp585,Narrowbody,Temperate,2935.14,2934.66759596364
2028,ssp585,Widebody,Temperate,3380.115,3380.00537693022
2029,ssp126,Narrowbody,Temperate,2932.3,2934.2275887824
2029,ssp126,Widebody,Temperate,3377.29,3379.61904666511
2029,ssp245,Narrowbody,Temperate,2938.115,2934.38320895739
2029,ssp245,Widebody,Temperate,3381.58,3379.79803441535
2029,ssp370,Narrowbody,Temperate,2935.635,2934.99700876945
2029,ssp370,Widebody,Temperate,3381.315,3380.41880388114
2029,ssp585,Narrowbody,Temperate,2935.445,2934.79347717839
2029,ssp585,Widebody,Temperate,3380.665,3380.09627362338
2030,ssp126,Narrowbody,Temperate,2928.92,2934.30622273331
2030,ssp126,Widebody,Temperate,3376.49,3379.6916599893
2030,ssp245,Narrowbody,Temperate,2934.18,2934.41979367063
2030,ssp245,Widebody,Temperate,3377.84,3379.8221981354
2030,ssp370,Narrowbody,Temperate,2936.815,2935.12565912576
2030,ssp370,Widebody,Temperate,3382.26,3380.50099301917
2030,ssp585,Narrowbody,Temperate,2935.22,2934.92728492983
2030,ssp585,Widebody,Temperate,3379.145,3380.19363175987
2031,ssp126,Narrowbody,Temperate,2934.015,2934.3853552483
2031,ssp126,Widebody,Temperate,3379.16,3379.76465426319
2031,ssp245,Narrowbody,Temperate,2937.21,2934.4606978121
2031,ssp245,Widebody,Temperate,3382.635,3379.84995672375
2031,ssp370,Narrowbody,Temperate,2935.205,2935.25748459648
2031,ssp370,Widebody,Temperate,3381.38,3380.58579500192
2031,ssp585,Narrowbody,Temperate,2929.35,2935.06862904145
2031,ssp585,Widebody,Temperate,3376.91,3380.2969994344
