year,ssp,zone,max_tas,max_ps,max_hurs,max_rho,max_hdw,avg_tas,avg_ps,avg_hurs,avg_rho,avg_hdw,min_tas,min_ps,min_hurs,min_rho,min_hdw,max_tas_abs,max_ps_abs,max_hurs_abs,max_rho_abs,max_hdw_abs,avg_tas_abs,avg_ps_abs,avg_hurs_abs,avg_rho_abs,avg_hdw_abs,min_tas_abs,min_ps_abs,min_hurs_abs,min_rho_abs,min_hdw_abs,max_tas_rel,max_ps_rel,max_hurs_rel,max_rho_rel,max_hdw_rel,avg_tas_rel,avg_ps_rel,avg_hurs_rel,avg_rho_rel,avg_hdw_rel,min_tas_rel,min_ps_rel,min_hurs_rel,min_rho_rel,min_hdw_rel,max_tas_loe,max_ps_loe,max_hurs_loe,max_rho_loe,max_hdw_loe,avg_tas_loe,avg_ps_loe,avg_hurs_loe,avg_rho_loe,avg_hdw_loe,min_tas_loe,min_ps_loe,min_hurs_loe,min_rho_loe,min_hdw_loe,max_tas_loe_abs,max_ps_loe_abs,max_hurs_loe_abs,max_rho_loe_abs,max_hdw_loe_abs,avg_tas_loe_abs,avg_ps_loe_abs,avg_hurs_loe_abs,avg_rho_loe_abs,avg_hdw_loe_abs,min_tas_loe_abs,min_ps_loe_abs,min_hurs_loe_abs,min_rho_loe_abs,min_hdw_loe_abs,max_tas_loe_rel,max_ps_loe_rel,max_hurs_loe_rel,max_rho_loe_rel,max_hdw_loe_rel,avg_tas_loe_rel,avg_ps_loe_rel,avg_hurs_loe_rel,avg_rho_loe_rel,avg_hdw_loe_rel,min_tas_loe_rel,min_ps_loe_rel,min_hurs_loe_rel,min_rho_loe_rel,min_hdw_loe_rel
2015,ssp126,Temperate,53.544,1054.78,100,1530.2,22.3153,13.8891631663974,969.67076736672,70.2572786752828,1172.73804523425,2.84988506785137,-42.521,550.288,5,678.939,-8.77552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4352880945928,1055.02982310898,100,1521.40908440349,23.0410224952296,13.9721119555949,969.489857827875,70.7704905541084,1172.15424226812,2.8129554461328,-42.9073374203968,551.77080978328,5,675.910932968156,-9.66236442967662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ssp245,Temperate,53.201,1055.08,100,1523.56,23.0442,13.7162439418417,969.124891760905,71.0355533117932,1172.88185945073,2.85129552342488,-41.604,550.67,5,680.943,-9.49087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.6522606927799,1057.01976429613,100,1523.32519372882,23.8684882508266,13.7674859773685,969.503551125152,71.3402739109565,1173.06143302586,2.82225233017521,-41.8365406904289,550.262177656699,5,678.484844576729,-9.63142863091729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ssp370,Temperate,53.914,1054.96,100,1556.28,26.3036,13.7569838449112,969.550219709209,71.466444911147,1173.19729725364,2.81466777382876,-46.012,548.883,5,675.495,-12.4827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8144278191566,1055.20959902817,100,1534.90273226163,24.6944359780893,13.8640387941381,969.286666514272,71.3756873075761,1172.35225689345,2.81140846276931,-43.8937550532831,551.381784858889,5,676.58319186744,-9.78502001102574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ssp585,Temperate,53.143,1059.42,100,1520.84,25.1495,13.7271793214863,969.994678513731,71.3087019386107,1173.86614862682,2.77516801453958,-38.973,549.895,5,683.917,-10.6509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.363163826753,1056.13920893406,100,1531.52230745131,23.108659416579,13.7491914655754,969.435468094099,71.2628532378157,1173.09780915273,2.80243535882584,-44.1874722742497,550.371848373173,5,678.055985807897,-9.92986438464413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,ssp126,Temperate,55.053,1054.84,100,1524.1,22.9224,14.3844151857835,969.450510500807,69.9723418416802,1170.33289499192,2.79664305977383,-44.791,554.208,5,675.779,-10.3863,1.50899999999996,0.0599999999999454,0,-6.10000000000014,0.607099999999999,0.495252019386097,-0.220256865913257,-0.284936833602529,-2.40515024232718,-0.0532420080775449,-2.26999999999998,3.92000000000007,0,-3.15999999999997,-1.61078,0.028182429403854,5.68838999601295e-05,0,-0.00398640700562027,0.027205549555686,0.0356574412333407,-0.000227146030720711,-0.00405562012897566,-0.00205088446827592,-0.0186821597397561,0.0533853860445423,0.00712354258133936,0,-0.00465432093310293,0.18355379510274,54.4342148981702,1055.04801995101,100,1521.39644475015,23.1159093979706,13.9823378325292,969.49370197173,70.7702857718705,1172.11744494738,2.81049059451148,-42.8973726805478,551.751086162368,5,676.05293317696,-9.67397133952854,-0.00107319642260961,0.0181968420363319,-2.8421709430404e-14,-0.0126396533435127,0.0748869027410137,0.0102258769343724,0.00384414385462151,-0.000204782237915424,-0.0367973207403338,-0.00246485162132393,0.00996473984897506,-0.0197236209120319,0,0.142000208804348,-0.0116069098519187,-1.97150866684991e-05,1.72477039395049e-05,-2.8421709430404e-16,-8.30785978149225e-06,0.00325015535905659,0.000731877683693883,3.96512023677508e-06,-2.89361054744781e-06,-3.13928998534621e-05,-0.00087624979084278,-0.00023223859712717,-3.57460390479497e-05,0,0.000210087160716244,0.00120124943914035
2016,ssp245,Temperate,53.013,1056.58,100,1525.5,25.458,13.6398723747981,969.923962843296,71.1582702746365,1174.26162358643,2.82132747495961,-40.042,550.722,5,680.029,-9.71375,-0.187999999999988,1.5,0,1.94000000000005,2.4138,-0.0763715670436298,0.79907108239081,0.122716962843342,1.37976413570368,-0.0299680484652694,1.56200000000001,0.0520000000000209,0,-0.913999999999987,-0.22288,-0.00353376816225237,0.00142169314175228,0,0.00127333350836203,0.104746530580363,-0.00556796506153239,0.000824528488726457,0.00172754285878095,0.00117638799218008,-0.010510327049254,-0.0375444668781851,9.44304211233968e-05,0,-0.00134225625346026,0.0234836216279435,53.7241448166925,1056.97257648673,100,1523.69046043937,23.9091455010644,13.7917906545224,969.506330890269,71.2821340012762,1172.96152660142,2.82199134253927,-42.0025812981967,550.316349152087,5,678.432895354683,-9.64951341044052,0.0718841239125823,-0.0471878093994747,-2.8421709430404e-14,0.36526671054844,0.0406572502377891,0.0243046771539301,0.00277976511654288,-0.0581399096803068,-0.0999064244390411,-0.000260987635938292,-0.166040607767854,0.0541714953876635,0,-0.0519492220463462,-0.0180847795232371,0.00133981537747683,-4.46423151140386e-05,-2.8421709430404e-16,0.00023978249165192,0.00170338606327031,0.00176536785248106,2.86720467740096e-06,-0.000814966168378807,-8.51672569111209e-05,-9.24749474552085e-05,0.00396879390665874,9.84466997502059e-05,0,-7.656651797249e-05,0.0018776840089106
2016,ssp370,Temperate,52.96,1049.35,100,1524.62,24.0299,13.8995315024233,969.408386106623,71.2096253634894,1172.32592568659,2.78788180775444,-40.388,551.884,5,677.491,-9.37663,-0.954000000000008,-5.61000000000013,0,-31.6600000000001,-2.2737,0.142547657512107,-0.141833602585507,-0.256819547657543,-0.87137156704307,-0.0267859660743137,5.624,3.00099999999998,0,1.99599999999998,3.10607,-0.0176948473494826,-0.00531773716539028,0,-0.0203433829388028,-0.0864406393041256,0.0103618394205527,-0.000146288041302333,-0.00359356825398048,-0.00074273233418018,-0.00951656402342545,-0.122228983743371,0.00546746756594753,0,0.00295487013227334,-0.248829980693279,53.8685924992426,1055.32403747926,100,1533.66681729247,24.6436808022962,13.8707658920749,969.304454287776,71.3532112089832,1172.34528800784,2.81219759570106,-43.812374276621,551.302600306466,5,676.729079483914,-9.78323327915144,0.054164680086032,0.114438451093747,-2.8421709430404e-14,-1.23591496915878,-0.0507551757931033,0.00672709793676951,0.0177877735039829,-0.0224760985928754,-0.00696888561219566,0.000789132931749315,0.0813807766621011,-0.0791845524224755,0,0.145887616474056,0.00178673187429723,0.00100650851976077,0.000108450919323652,-2.8421709430404e-16,-0.000805207354955777,-0.00205532840831583,0.000485219208966279,1.83514063676857e-05,-0.000314898524143384,-5.94436149307384e-06,0.000280689534160397,-0.00185403997819991,-0.00014361111410806,0,0.000215624062536036,-0.000182598693950952
2016,ssp585,Temperate,55.399,1054.43,100,1498.08,23.7298,13.5388723747981,969.721366720518,72.0769697899839,1174.34641518578,2.7968925638126,-41.121,546.745,5,676.893,-11.2577,2.25599999999997,-4.99000000000001,0,-22.7599999999998,-1.4197,-0.188306946688208,-0.273311793213452,0.768267851373153,0.480266558964104,0.0217245492730225,-2.148,-3.14999999999998,0,-7.02400000000012,-0.6068,0.042451498786293,-0.00471012440769479,0,-0.0149654138502405,-0.05645042644983,-0.013717817934633,-0.000281766281060668,0.0107738302687735,0.000409132301434808,0.00782819244067525,0.0551150796705411,-0.00572836632448009,0,-0.0102702520919938,0.0569717113107812,54.3242011043204,1056.23377345211,100,1530.82439953056,23.2462066458812,13.7654443270071,969.44264824582,71.2426980280562,1173.03117727436,2.805098169923,-44.0859357750804,550.449172322534,5,677.955416258103,-9.95976156115822,-0.0389627224326148,0.0945645180531756,-2.8421709430404e-14,-0.697907920752868,0.137547229302214,0.0162528614316511,0.00718015172117248,-0.0201552097594373,-0.066631878368753,0.00266281109715782,0.101536499169299,0.0773239493610163,0,-0.100569549793477,-0.0298971765140887,-0.000716711826353281,8.95379295203118e-05,-2.8421709430404e-16,-0.000455695563399462,0.00595219423258854,0.00118209579613057,7.4065288072125e-06,-0.000282829115642846,-5.67999341989034e-05,0.000950177526404564,-0.00229785715143678,0.000140494012529122,0,-0.000148320421762296,0.00301083432320815
2017,ssp126,Temperate,54.505,1055.15,100,1529.83,24.23,13.8971518578352,969.138222940225,70.7915403877222,1172.13457512116,2.80690444426494,-42.214,550.496,5,673.48,-11.2905,0.960999999999956,0.370000000000118,0,-0.370000000000118,1.9147,0.0079886914377969,-0.532544426494951,0.534261712439445,-0.603470113086587,-0.0429806235864323,0.307000000000016,0.20799999999997,0,-5.45899999999995,-2.51498,0.0179478559689219,0.000350784049754563,0,-0.000241798457718023,0.0858021178294713,0.000575174424987982,-0.000549201279874768,0.00760436103579691,-0.000514582191256571,-0.0150815287505039,-0.00721996190117863,0.000377983892071006,0,-0.00804048670057243,0.286590424271154,54.4333908897694,1055.06650529341,100,1521.38427931269,23.1883287078506,13.9925610809466,969.497490383863,70.7698555880769,1172.08045583817,2.80808129214962,-42.8880384175564,551.731685385118,5,676.187927275115,-9.68501305362988,-0.00189720482335076,0.0366821844329479,-5.6843418860808e-14,-0.0248050908023743,0.147306212621029,0.0204491253517567,0.0076325559880388,-0.000634966031540785,-0.0737864299535431,-0.00487415398318181,0.0192990028404338,-0.0391243981622438,-8.88178419700125e-16,0.276994306958727,-0.022648623953252,-3.48524806198136e-05,3.47688602061052e-05,-5.68434188608079e-16,-1.63040243788868e-05,0.00639321508633253,0.00146356724142682,7.87275485804401e-06,-8.97218638120522e-06,-6.29494202151811e-05,-0.00173275193173881,-0.000449783277189782,-7.09069734544506e-05,-1.77635683940025e-16,0.000409808886715814,0.00234400431882799
2017,ssp245,Temperate,54.694,1062.97,100,1506.72,23.1554,13.6258142164782,969.282101777062,71.2493694668822,1173.42180290792,2.833656546042,-45.911,550.298,5,679.629,-8.40016,1.493,7.8900000000001,0,-16.8399999999999,0.1112,-0.0904297253634816,0.157210016156682,0.21381615508902,0.539943457188883,-0.0176389773828776,-4.30699999999999,-0.371999999999957,0,-1.31399999999996,1.09071,0.0280633822672505,0.00747810592561711,0,-0.0110530599385649,0.00482550923876725,-0.00659289275890055,0.000162218530855224,0.00300998788804427,0.000460356218180188,-0.00618630276587052,0.103523699644265,-0.000675540704959335,0,-0.00192967693331155,-0.114922025061981,53.7941432254898,1056.92698582381,100,1524.03317713702,23.9484559922331,13.8159605924328,969.509287361813,71.2251638563759,1172.86239373731,2.8217509279814,-42.1607732291588,550.37015861255,5,678.379899748599,-9.66683452563472,0.141882532709907,-0.0927784723164677,-5.6843418860808e-14,0.707983408201699,0.0799677414065378,0.0484746150643023,0.00573623666059575,-0.115110054580654,-0.199039288546828,-0.000501402193806566,-0.324232538729902,0.107980955851303,-8.88178419700125e-16,-0.104944828130328,-0.0354058947174369,0.00264448377156641,-8.77736400494356e-05,-5.68434188608079e-16,0.000464761832283943,0.00335034798040754,0.00352094893315938,5.91667421324924e-06,-0.00161353536046594,-0.000169675076635514,-0.000177660299345182,0.00774998442459843,0.000196235467811257,-1.77635683940025e-16,-0.00015467527236485,0.00367607922710267
