isa_tas,isa_ps,isa_hurs,scale,var_tas,var_ps,var_hurs,rho_tas,rho_ps,rho_hurs,rho_tas_rel,rho_ps_rel,rho_hurs_rel
15,1013.25,0,0,15,1013.25,0,1225.54223102456,1225.54223102456,1225.54223102456,0,0,0
15,1013.25,0,0.01,15.15,1003.1175,1,1224.90265370069,1213.28188626308,1225.46432641976,0.000521872937277679,0.0100040165496588,6.35674584105184e-05
15,1013.25,0,0.02,15.3,992.985,2,1224.26374572127,1201.02164044085,1225.38642585283,0.00104319971268141,0.0200079523683215,0.000127131622057797
15,1013.25,0,0.03,15.45,982.8525,3,1223.62550603611,1188.76149357331,1225.30852932299,0.00156398118312351,0.0300118074433835,0.000190692491575106
15,1013.25,0,0.04,15.6,972.72,4,1222.98793359722,1176.50144567592,1225.23063682948,0.00208421820372573,0.0400155817622409,0.000254250067595829
15,1013.25,0,0.05,15.75,962.5875,5,1222.35102735881,1164.2414967641,1225.15274837151,0.00260391162782181,0.0500192753122888,0.000317804350752016
15,1013.25,0,0.06,15.9,952.455,6,1221.71478627725,1151.98164685332,1225.07486394831,0.00312306230696369,0.0600228880809238,0.000381355341677048
15,1013.25,0,0.07,16.05,942.3225,7,1221.07920931113,1139.72189595902,1224.9969835591,0.00364167109092561,0.0700264200555436,0.000444903041003086
15,1013.25,0,0.08,16.2,932.19,8,1220.44429542117,1127.46224409665,1224.91910720311,0.00415973882770904,0.0800298712235448,0.000508447449363403
15,1013.25,0,0.09,16.35,922.0575,9,1219.81004357028,1115.20269128164,1224.84123487956,0.00467726636354526,0.0900332415723251,0.000571988567389825
15,1013.25,0,0.1,16.5,911.925,10,1219.17645272354,1102.94323752944,1224.76336658768,0.00519425454290423,0.100036531089283,0.00063552639571518
