year,ssp,zone,type,avg_todr,avg_thr,avg_pax_rem,avg_todr_loe,avg_thr_loe,avg_pax_rem_loe
2015,ssp126,Temperate,Narrowbody,2847.9605815832,0.877949841944345,10.3054645944126,2849.84633504903,0.878212224967881,10.3573968781998
2015,ssp126,Temperate,Widebody,3150.93854561101,0.936325372474182,21.7220504925811,3149.90304975126,0.936658021022169,21.5394734210782
2015,ssp245,Temperate,Narrowbody,2848.03321486269,0.878060663545316,10.2979540389003,2848.31968069646,0.878042748248712,10.3320915267311
2015,ssp245,Temperate,Widebody,3146.82899311532,0.93641987549544,21.6565178199389,3149.38676190707,0.936288287260802,21.393391419058
2015,ssp370,Temperate,Narrowbody,2848.23760904685,0.878114007770363,10.3827410195504,2849.43215744964,0.878257513393037,10.3693325703192
2015,ssp370,Temperate,Widebody,3145.11554310345,0.936406409445345,21.2920898642876,3148.34795336011,0.936664219058826,21.3273967570791
2015,ssp585,Temperate,Narrowbody,2847.94149434572,0.87820700301664,10.4758861332795,2848.68453328527,0.878146509758081,10.3827014141398
2015,ssp585,Temperate,Widebody,3148.17255632582,0.936039770174264,20.9619465283074,3149.82907073547,0.936427816412546,21.4530139373447
2016,ssp126,Temperate,Narrowbody,2851.03312600969,0.878620599540864,10.4005406983362,2849.92790284627,0.878224196336802,10.3589757288745
2016,ssp126,Temperate,Widebody,3153.89749134948,0.93699395915718,21.4908621281669,3150.12918201435,0.936663755449575,21.530766660709
2016,ssp245,Temperate,Narrowbody,2846.97976575121,0.877700621964798,10.2031115947672,2848.42264629559,0.878057984657611,10.335143225994
2016,ssp245,Temperate,Widebody,3148.91112262521,0.935940794014335,21.1982877412205,3149.35374647576,0.936320158146345,21.393605703419
2016,ssp370,Temperate,Narrowbody,2849.80615508886,0.878209960281956,10.2836963211353,2849.39954068895,0.878250357019,10.3669977004525
2016,ssp370,Temperate,Widebody,3147.78786574871,0.936928985425128,21.6771964776485,3148.46167591106,0.936656199295631,21.3298797519201
2016,ssp585,Temperate,Narrowbody,2848.02789176091,0.8778007035021,10.2980230648636,2848.69594084856,0.878149466365895,10.3835697116104
2016,ssp585,Temperate,Widebody,3147.47019827587,0.936042639027241,21.0870979781946,3149.73543957814,0.936441833596778,21.4591459701618
2017,ssp126,Temperate,Narrowbody,2849.3334168013,0.878414465930033,10.3902773417823,2850.00826055072,0.878236149884721,10.3605992996059
2017,ssp126,Temperate,Widebody,3154.22954861111,0.936428109931076,21.1777035471045,3150.3505255209,0.936669744004002,21.5224401839559
2017,ssp245,Temperate,Narrowbody,2847.9497092084,0.878038311517852,10.3756167548419,2848.52396242176,0.878073052165469,10.3381615176498
2017,ssp245,Temperate,Widebody,3148.83702936097,0.936159852812954,21.382267492635,3149.32341608298,0.93635142831398,21.3939953779109
2017,ssp370,Temperate,Narrowbody,2849.86845718901,0.878340806434403,10.383772361809,2849.37324672023,0.878244375518914,10.3649438732054
2017,ssp370,Temperate,Widebody,3149.83784110535,0.936683453956304,21.3294517450519,3148.57434225059,0.936649767987386,21.3326612279882
2017,ssp585,Temperate,Narrowbody,2849.47243941842,0.878134735872448,10.4507235114942,2848.71253991954,0.878153320685939,10.3846283761526
2017,ssp585,Temperate,Widebody,3154.42080589255,0.936152622416552,21.5449739265922,3149.64738637532,0.936456681892915,21.4653592953693
2018,ssp126,Temperate,Narrowbody,2848.42217285945,0.8781035899029,10.3722717883126,2850.08742507381,0.878248111263623,10.3622757449682
2018,ssp126,Temperate,Widebody,3147.55213298791,0.936382347230138,21.1929367749687,3150.56725834973,0.936676014016567,21.5145157489152
2018,ssp245,Temperate,Narrowbody,2847.82283521809,0.878097146795557,10.3789741202718,2848.623447088,0.878087931075479,10.3411423988299
2018,ssp245,Temperate,Widebody,3150.67191176471,0.936235760620069,21.3891631004852,3149.29553790612,0.936382078555934,21.3945945462068
2018,ssp370,Temperate,Narrowbody,2849.25763327948,0.878258380210581,10.4472128663677,2849.35340485063,0.878239592004813,10.3631792611058
2018,ssp370,Temperate,Widebody,3148.08048275862,0.936641973298707,21.3293984835612,3148.68586301459,0.936644960707584,21.3357335056533
2018,ssp585,Temperate,Narrowbody,2849.16626009693,0.878385606483393,10.4165083073088,2848.73423191546,0.878158064824133,10.385876770162
2018,ssp585,Temperate,Widebody,3151.10352586207,0.936829578612414,21.6306548295283,3149.56464027778,0.936472342366269,21.4716437876416
2019,ssp126,Temperate,Narrowbody,2849.36220516963,0.878082156813337,10.3391658769428,2850.16541332697,0.878260106125491,10.3640132195354
