year,exp,type,vlof_avg,vlof_avg_loess
2029,ssp585,Narrowbody,83.54035,83.5355375665858
2029,ssp585,Widebody,90.0143,90.0077763614663
2030,ssp126,Narrowbody,83.4824,83.5288302923518
2030,ssp126,Widebody,89.95365,90.0003577022338
2030,ssp245,Narrowbody,83.53675,83.5275672924042
2030,ssp245,Widebody,90.0041,89.9992016343339
2030,ssp370,Narrowbody,83.5553,83.5382012544467
2030,ssp370,Widebody,90.03085,90.0097799395589
2030,ssp585,Narrowbody,83.58595,83.5391879546357
2030,ssp585,Widebody,90.06005,90.0113934683599
2031,ssp126,Narrowbody,83.5127,83.531139290299
2031,ssp126,Widebody,89.98855,90.002559780014
2031,ssp245,Narrowbody,83.51015,83.5302695223012
2031,ssp245,Widebody,89.9795,90.0018962841322
2031,ssp370,Narrowbody,83.5033,83.5413970958448
2031,ssp370,Widebody,89.9686,90.012928471647
2031,ssp585,Narrowbody,83.55175,83.5429667782376
2031,ssp585,Widebody,90.02885,90.0151375418619
2032,ssp126,Narrowbody,83.53675,83.5333764610776
2032,ssp126,Widebody,90.00485,90.0046982795566
2032,ssp245,Narrowbody,83.54695,83.5329836935573
2032,ssp245,Widebody,90.01675,90.0046069385254
2032,ssp370,Narrowbody,83.5156,83.5447115603105
2032,ssp370,Widebody,89.98665,90.0161992752656
2032,ssp585,Narrowbody,83.5235,83.5468726982962
2032,ssp585,Widebody,89.9928,90.0190075037239
2033,ssp126,Narrowbody,83.52805,83.5355445846871
2033,ssp126,Widebody,90.0016,90.0067760771195
2033,ssp245,Narrowbody,83.5604,83.535711909355
2033,ssp245,Widebody,90.03035,90.0073346032333
2033,ssp370,Narrowbody,83.59265,83.5481377551807
2033,ssp370,Widebody,90.05645,90.0195847792828
2033,ssp585,Narrowbody,83.55175,83.5509043757166
2033,ssp585,Widebody,90.02595,90.0230022756974
2034,ssp126,Narrowbody,83.51095,83.5376464411266
2034,ssp126,Widebody,89.98285,90.0087960489605
2034,ssp245,Narrowbody,83.5692,83.5384562728765
2034,ssp245,Widebody,90.04015,90.0100802839763
2034,ssp370,Narrowbody,83.553,83.5516687877924
2034,ssp370,Widebody,90.02275,90.0230774125666
2034,ssp585,Narrowbody,83.56835,83.5550604714035
2034,ssp585,Widebody,90.0393,90.0271207795341
2035,ssp126,Narrowbody,83.5493,83.5396848103957
2035,ssp126,Widebody,90.02755,90.0107610713374
2035,ssp245,Narrowbody,83.5505,83.5412188873044
2035,ssp245,Widebody,90.0216,90.0128449864742
2035,ssp370,Narrowbody,83.58145,83.5552977654826
2035,ssp370,Widebody,90.0532,90.0266696039852
2035,ssp585,Narrowbody,83.6094,83.559339646262
2035,ssp585,Widebody,90.08095,90.0313619369856
2036,ssp126,Narrowbody,83.50625,83.5416624724935
2036,ssp126,Widebody,89.97495,90.0126740205078
2036,ssp245,Narrowbody,83.5142,83.5440018558208
2036,ssp245,Widebody,89.9859,90.0156297164471
2036,ssp370,Narrowbody,83.55275,83.5590177955882
2036,ssp370,Widebody,90.02415,90.0303537824067
2036,ssp585,Narrowbody,83.54735,83.5637405611968
2036,ssp585,Widebody,90.01985,90.0357246698033
2037,ssp126,Narrowbody,83.51265,83.5435440224504
2037,ssp126,Widebody,89.9862,90.0144998970404
2037,ssp245,Narrowbody,83.5559,83.5467991580788
2037,ssp245,Widebody,90.0263,90.0184441439921
2037,ssp370,Narrowbody,83.55125,83.5629333835034
2037,ssp370,Widebody,90.02385,90.0342418567042
2037,ssp585,Narrowbody,83.54475,83.5682978524582
2037,ssp585,Widebody,90.01585,90.040239157361
2038,ssp126,Narrowbody,83.574,83.5453017279994
2038,ssp126,Widebody,90.0424,90.0162112148169
2038,ssp245,Narrowbody,83.54885,83.5496054044352
2038,ssp245,Widebody,90.02215,90.0212953527836
2038,ssp370,Narrowbody,83.55585,83.5671279928839
2038,ssp370,Widebody,90.03105,90.0384234018978
2038,ssp585,Narrowbody,83.60465,83.5730383495904
2038,ssp585,Widebody,90.0729,90.0449286033507
2039,ssp126,Narrowbody,83.57795,83.5469498781938
2039,ssp126,Widebody,90.0502,90.0178221200648
2039,ssp245,Narrowbody,83.5591,83.5524236441285
2039,ssp245,Widebody,90.03015,90.0241804689073
2039,ssp370,Narrowbody,83.55985,83.5715631684594
2039,ssp370,Widebody,90.02705,90.042857346075
2039,ssp585,Narrowbody,83.55285,83.5779490034395
2039,ssp585,Widebody,90.0302,90.0497814660021
2040,ssp126,Narrowbody,83.561,83.5485027620869
2040,ssp126,Widebody,90.0228,90.0193467590118
2040,ssp245,Narrowbody,83.5694,83.5552569263968
2040,ssp245,Widebody,90.0421,90.027096618449
2040,ssp370,Narrowbody,83.6073,83.5762004549597
2040,ssp370,Widebody,90.0732,90.0475026173238
2040,ssp585,Narrowbody,83.53795,83.5830167648516
2040,ssp585,Widebody,90.01065,90.054786203545
2041,ssp126,Narrowbody,83.55075,83.5499746687321
2041,ssp126,Widebody,90.0167,90.0207992778855
2041,ssp245,Narrowbody,83.539,83.5581083004784
2041,ssp245,Widebody,90.01365,90.0300409274945
2041,ssp370,Narrowbody,83.53045,83.5810013971145
2041,ssp370,Widebody,90.0028,90.0523181437318
2041,ssp585,Narrowbody,83.58785,83.5882285846729
2041,ssp585,Widebody,90.05585,90.0599312742089
2042,ssp126,Narrowbody,83.56975,83.5513798871826
2042,ssp126,Widebody,90.04365,90.0221938229134
2042,ssp245,Narrowbody,83.53405,83.5609808156118
2042,ssp245,Widebody,90.00815,90.0330105221297
2042,ssp370,Narrowbody,83.57855,83.5859275396535
2042,ssp370,Widebody,90.04805,90.0572628533868
2042,ssp585,Narrowbody,83.60505,83.5935714137495
