year,exp,type,todr_avg,todr_avg_loess
2029,ssp370,Widebody,3342.545,3342.05498502406
2029,ssp585,Narrowbody,2932.865,2932.42108687631
2029,ssp585,Widebody,3342,3341.9468448472
2030,ssp126,Narrowbody,2929.27,2932.1908312442
2030,ssp126,Widebody,3340.355,3341.76880431291
2030,ssp245,Narrowbody,2932.215,2932.09256478508
2030,ssp245,Widebody,3340.89,3341.71267520994
2030,ssp370,Narrowbody,2932.915,2932.58678591455
2030,ssp370,Widebody,3342.25,3342.13084910102
2030,ssp585,Narrowbody,2933.91,2932.53597749585
2030,ssp585,Widebody,3341.77,3342.03074167244
2031,ssp126,Narrowbody,2931.925,2932.27517608667
2031,ssp126,Widebody,3341.66,3341.83845032898
2031,ssp245,Narrowbody,2933.89,2932.16140103808
2031,ssp245,Widebody,3343.405,3341.75737051149
2031,ssp370,Narrowbody,2932.685,2932.70711566971
2031,ssp370,Widebody,3342.54,3342.20979368322
2031,ssp585,Narrowbody,2928.875,2932.65743990752
2031,ssp585,Widebody,3339.71,3342.11960074222
2032,ssp126,Narrowbody,2932.225,2932.35757381047
2032,ssp126,Widebody,3341.64,3341.90654132008
2032,ssp245,Narrowbody,2931.98,2932.23183626543
2032,ssp245,Widebody,3341.745,3341.80361925215
2032,ssp370,Narrowbody,2931.575,2932.83119929813
2032,ssp370,Widebody,3340.755,3342.29173063177
2032,ssp585,Narrowbody,2933.135,2932.78528695384
2032,ssp585,Widebody,3343.07,3342.21315027683
2033,ssp126,Narrowbody,2932.845,2932.43795333476
2033,ssp126,Widebody,3342.105,3341.9728841985
2033,ssp245,Narrowbody,2934.485,2932.30395768736
2033,ssp245,Widebody,3343.535,3341.85138831965
2033,ssp370,Narrowbody,2937.095,2932.95894760055
2033,ssp370,Widebody,3344.205,3342.37657180778
2033,ssp585,Narrowbody,2932.245,2932.9193314773
2033,ssp585,Widebody,3341.7,3342.31111849658
2034,ssp126,Narrowbody,2931.15,2932.51624357866
2034,ssp126,Widebody,3340.26,3342.03728587652
2034,ssp245,Narrowbody,2932.58,2932.37785252409
2034,ssp245,Widebody,3340.505,3341.90064460171
2034,ssp370,Narrowbody,2933.4,2933.09027137773
2034,ssp370,Widebody,3342.53,3342.46422907236
2034,ssp585,Narrowbody,2934.26,2933.05938632042
2034,ssp585,Widebody,3342.7,3342.41323362179
2035,ssp126,Narrowbody,2930.65,2932.59237346133
2035,ssp126,Widebody,3340.69,3342.09955326643
2035,ssp245,Narrowbody,2932.905,2932.45360799583
2035,ssp245,Widebody,3342.515,3341.95135498606
2035,ssp370,Narrowbody,2934.54,2933.22508143041
2035,ssp370,Widebody,3343.95,3342.55461428661
2035,ssp585,Narrowbody,2935.175,2933.20526432571
2035,ssp585,Widebody,3343.62,3342.51922387275
2036,ssp126,Narrowbody,2931.505,2932.6662719019
2036,ssp126,Widebody,3341.585,3342.15949328051
2036,ssp245,Narrowbody,2930.035,2932.53131132282
2036,ssp245,Widebody,3340.05,3342.00348636043
2036,ssp370,Narrowbody,2932.49,2933.36328855936
2036,ssp370,Widebody,3341.595,3342.64763931164
2036,ssp585,Narrowbody,2933.14,2933.35677833567
2036,ssp585,Widebody,3342.74,3342.62881746978
2037,ssp126,Narrowbody,2931.235,2932.73923717661
2037,ssp126,Widebody,3342.07,3342.22004448009
2037,ssp245,Narrowbody,2933.565,2932.61029098238
2037,ssp245,Widebody,3342.605,3342.05790151159
2037,ssp370,Narrowbody,2934.19,2933.50715709921
2037,ssp370,Widebody,3343.19,3342.74474218364
2037,ssp585,Narrowbody,2934.88,2933.51845189455
2037,ssp585,Widebody,3344.25,3342.74680763073
2038,ssp126,Narrowbody,2934.85,2932.81230720975
2038,ssp126,Widebody,3343.34,3342.28353323572
2038,ssp245,Narrowbody,2932.135,2932.69000962605
2038,ssp245,Widebody,3341.325,3342.11527227272
2038,ssp370,Narrowbody,2933.53,2933.65838648157
2038,ssp370,Widebody,3342.925,3342.84704271232
2038,ssp585,Narrowbody,2935.49,2933.69375217444
2038,ssp585,Widebody,3344.405,3342.87691654093
2039,ssp126,Narrowbody,2932.965,2932.88502039254
2039,ssp126,Widebody,3342.565,3342.34884817356
2039,ssp245,Narrowbody,2934.31,2932.77075573532
2039,ssp245,Widebody,3344.035,3342.17527910119
2039,ssp370,Narrowbody,2931.78,2933.81604015263
2039,ssp370,Widebody,3340.345,3342.953975419
2039,ssp585,Narrowbody,2929.295,2933.88090745963
2039,ssp585,Widebody,3339.73,3343.01726587187
2040,ssp126,Narrowbody,2934.8,2932.9569151162
2040,ssp126,Widebody,3343.865,3342.41487791973
2040,ssp245,Narrowbody,2931.27,2932.85281779169
2040,ssp245,Widebody,3341.005,3342.23760245437
2040,ssp370,Narrowbody,2935.335,2933.9791815586
2040,ssp370,Widebody,3343.735,3343.06497482505
2040,ssp585,Narrowbody,2933.87,2934.07814603438
2040,ssp585,Widebody,3343.04,3343.16597729505
2041,ssp126,Narrowbody,2933.92,2933.02752977196
2041,ssp126,Widebody,3342.305,3342.4805111004
2041,ssp245,Narrowbody,2930.875,2932.93648427665
2041,ssp245,Widebody,3340.89,3342.30192278963
2041,ssp370,Narrowbody,2932.965,2934.14687414567
2041,ssp370,Widebody,3342.345,3343.17947545181
2041,ssp585,Narrowbody,2936.645,2934.28369618296
2041,ssp585,Widebody,3344.815,3343.32117248197
2042,ssp126,Narrowbody,2932.28,2933.09640275103
2042,ssp126,Widebody,3342.315,3342.54463634168
2042,ssp245,Narrowbody,2930.835,2933.02204367169
2042,ssp245,Widebody,3341.015,3342.36792056434
2042,ssp370,Narrowbody,2935.13,2934.31818136005
2042,ssp370,Widebody,3343.835,3343.29691182064
2042,ssp585,Narrowbody,2937.335,2934.49578618965
2042,ssp585,Widebody,3345.295,3343.48097310413
2043,ssp126,Narrowbody,2933.8,2933.16307244465
2043,ssp126,Widebody,3343.205,3342.60614226974
2043,ssp245,Narrowbody,2932.045,2933.10978445831
2043,ssp245,Widebody,3342.73,3342.43527623585
2043,ssp370,Narrowbody,2935.61,2934.49216664792
2043,ssp370,Widebody,3344.685,3343.41671845287
2043,ssp585,Narrowbody,2934.585,2934.71264433872
2043,ssp585,Widebody,3343.54,3343.64350083303
2044,ssp126,Narrowbody,2934.785,2933.22707724403
2044,ssp126,Widebody,3344.585,3342.6639175107
2044,ssp245,Narrowbody,2933.84,2933.19999511799
2044,ssp245,Widebody,3343.615,3342.50367026155
2044,ssp370,Narrowbody,2933.24,2934.66789345548
2044,ssp370,Widebody,3343.11,3343.53832986987
2044,ssp585,Narrowbody,2934.615,2934.93249891445
2044,ssp585,Widebody,3343.345,3343.80687734016
2045,ssp126,Narrowbody,2933.345,2933.2879555404
