year,ssp,zone,type,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max_no_rm,tko_ok_thr_max_rm,tko_ok_thr_max,tko_ok,tko_ko,tko,tko_ok_thr_min_rel,tko_ok_thr_mid_rel,tko_ok_thr_max_no_rm_rel,tko_ok_thr_max_rm_rel,tko_ok_thr_max_rel,tko_ok_rel,tko_ko_rel,tko_rel,tko_ok_thr_min_rel_loe,tko_ok_thr_mid_rel_loe,tko_ok_thr_max_no_rm_rel_loe,tko_ok_thr_max_rm_rel_loe,tko_ok_thr_max_rel_loe,tko_ok_rel_loe,tko_ko_rel_loe,tko_rel_loe
2015,ssp126,Temperate,Narrowbody,549426,611042,71016,362766,433782,1594250,211992,1806242,0.304181831670396,0.33829464711816,0.0393169907465334,0.200840197492916,0.24015718823945,0.882633667028006,0.117366332971994,1,0.303513942566882,0.338397363317247,0.0386469519443119,0.201046534328671,0.239693486272983,0.881604792157112,0.118395207842889,1
2015,ssp126,Temperate,Widebody,20170,848932,99757,222187,321944,1191046,615196,1806242,0.0111668314655511,0.469999036673934,0.0552290335403562,0.123010648628478,0.178239682168835,0.65940555030832,0.34059444969168,1,0.0108915297949192,0.469800988444529,0.0541151819876916,0.123038260722661,0.177153442710353,0.657845960949801,0.3421540390502,1
2015,ssp245,Temperate,Narrowbody,549775,611289,71387,361225,432612,1593676,212566,1806242,0.304375050519255,0.338431395128671,0.0395223895801338,0.19998704492532,0.239509434505454,0.882315880153379,0.117684119846621,1,0.303962693286958,0.338341543994868,0.0391614640670992,0.200643730302609,0.239805194369708,0.882109431651533,0.117890568348468,1
2015,ssp245,Temperate,Widebody,19817,850404,99433,221504,320937,1191158,615084,1806242,0.0109713980740122,0.470813988380295,0.0550496555832496,0.122632515465812,0.177682171049062,0.659467557503369,0.340532442496631,1,0.0111230997673317,0.469953593727534,0.0548215542136923,0.122822223675806,0.177643777889498,0.658720471384363,0.341279528615638,1
2015,ssp370,Temperate,Narrowbody,549631,609959,70986,362771,433757,1593347,212895,1806242,0.304295326982763,0.337695059687462,0.039300381676431,0.200842965671267,0.240143347347698,0.882133734017922,0.117866265982078,1,0.303500021553396,0.338375902963171,0.0387932417325836,0.201121946121181,0.239915187853765,0.881791112370331,0.118208887629669,1
2015,ssp370,Temperate,Widebody,20992,848499,99029,222395,321424,1190915,615327,1806242,0.0116219199863584,0.469759312428789,0.0548259867725366,0.123125804847855,0.177951791620392,0.659333024035539,0.340666975964461,1,0.0110519483659784,0.469499406692197,0.0542597492970281,0.122979097427861,0.177238846724889,0.657790201783065,0.342209798216936,1
2015,ssp585,Temperate,Narrowbody,549133,610578,71066,362737,433803,1593514,212728,1806242,0.304019616419062,0.338037760167242,0.0393446725300375,0.200824142058484,0.240168814588521,0.882226191174826,0.117773808825174,1,0.303801731930711,0.338421027269913,0.0388898683174037,0.20067517837366,0.239565046691064,0.881787805891688,0.118212194108313,1
2015,ssp585,Temperate,Widebody,20838,846354,100455,220754,321209,1188401,617841,1806242,0.0115366600931658,0.468571763916463,0.0556154712380733,0.122217288713251,0.177832759951324,0.657941183960953,0.342058816039047,1,0.0113485129571048,0.469624098558129,0.0544447046756484,0.122658592296992,0.17710329697264,0.658075908487873,0.341924091512127,1
2016,ssp126,Temperate,Narrowbody,547561,613948,68290,365702,433992,1595501,216931,1812432,0.302113955171835,0.338742639723863,0.037678654978504,0.201774190700672,0.239452845679176,0.880309440574874,0.119690559425126,1,0.303459092429664,0.33841764030113,0.0386210989467591,0.201052091977035,0.239673190923795,0.881549923654588,0.118450076345412,1
2016,ssp126,Temperate,Widebody,19543,847891,95348,223471,318819,1186253,626179,1812432,0.0107827493665969,0.467819482330923,0.0526077668017338,0.12329897066483,0.175906737466564,0.654508969164085,0.345491030835916,1,0.0108818639090143,0.469733131403878,0.0540926152986898,0.123034566190104,0.177127181488793,0.657742176801686,0.342257823198315,1
2016,ssp245,Temperate,Narrowbody,552285,612064,72310,362407,434717,1599066,213366,1812432,0.304720397785958,0.337703152449306,0.0398966692267627,0.199956191459873,0.239852860686635,0.882276410921899,0.117723589078101,1,0.303915614698004,0.338349142336007,0.0391225101734887,0.200665741303331,0.23978825147682,0.882053008510831,0.11794699148917,1
2016,ssp245,Temperate,Widebody,21307,850897,101818,222319,324137,1196341,616091,1812432,0.011756027260609,0.469478027313576,0.056177555902787,0.122663360611598,0.178840916514385,0.660074971088571,0.33992502891143,1,0.0111134152549307,0.469890141713249,0.0547857325507218,0.122837578952357,0.177623311503079,0.658626868471259,0.341373131528742,1
2016,ssp370,Temperate,Narrowbody,549508,613867,69767,365211,434978,1598353,214079,1812432,0.303188202371179,0.338697948391995,0.0384935821040458,0.201503283985275,0.239996866089321,0.881883016852494,0.118116983147506,1,0.30351128366903,0.338363156803167,0.0388108177355511,0.201118271040771,0.239929088776322,0.881803529248519,0.118196470751482,1
2016,ssp370,Temperate,Widebody,19755,850632,98227,223111,321338,1191725,620707,1812432,0.0108997192722265,0.46933181493154,0.0541962401899768,0.123100342523195,0.177296582713172,0.657528116916938,0.342471883083062,1,0.0110386750173854,0.469492859005924,0.054302221796994,0.12298666677319,0.177288888570184,0.657820422593493,0.342179577406508,1
2016,ssp585,Temperate,Narrowbody,552333,612381,70806,363633,434439,1599153,213279,1812432,0.304746881538176,0.337878055562912,0.0390668449905983,0.200632630631108,0.239699475621706,0.882324412722795,0.117675587277205,1,0.303798929051777,0.338422135336988,0.038902445193053,0.200678256062071,0.239580701255124,0.881801765643889,0.118198234356111,1
