year,exp,zone,type,avg_thr,avg_pax,avg_thr_loess,avg_pax_loess,avg_thr_per,avg_pax_per
2015,ssp126,Temperate,Narrowbody,0.862801715518619,7.82971706933343,0.863153219860044,7.88260538187184,0,0
2016,ssp126,Temperate,Narrowbody,0.863254134823045,7.92732193069888,0.863163856415014,7.88451655121395,1.23229048167166e-05,0.000242454017361346
2017,ssp126,Temperate,Narrowbody,0.862990693978849,7.73131032068363,0.863174312044764,7.88638066763203,2.44362000107947e-05,0.000478938825083517
2018,ssp126,Temperate,Narrowbody,0.86303674799116,7.83316047615784,0.863184561580094,7.88819339082916,3.63107259862434e-05,0.000708903806116262
2019,ssp126,Temperate,Narrowbody,0.863675483233045,8.0402109487538,0.863194579851805,7.88995038050843,4.79173231468147e-05,0.00093179834341091
2020,ssp126,Temperate,Narrowbody,0.863237562315224,7.96405729777666,0.863204341690697,7.89164729637291,5.92268318965177e-05,0.0011470718199171
2021,ssp126,Temperate,Narrowbody,0.863222923627916,7.93322041527778,0.863213821927572,7.89327979812569,7.02100926389758e-05,0.00135417361858514
2022,ssp126,Temperate,Narrowbody,0.862575265940219,7.70063006516617,0.863222995393229,7.89484354546984,8.08379457780695e-05,0.00155255312236559
2023,ssp126,Temperate,Narrowbody,0.863768984412109,8.0455227177429,0.863231836918469,7.89633419810845,9.10812317174223e-05,0.00174165971420862
2024,ssp126,Temperate,Narrowbody,0.863477213917137,7.9196602358688,0.863240321334094,7.8977474157446,0.000100910790860915,0.00192094277706446
2025,ssp126,Temperate,Narrowbody,0.862972197530963,7.83721111751551,0.863248423470903,7.89907885808136,0.000110297463612813,0.00208985169388375
2026,ssp126,Temperate,Narrowbody,0.86288776044021,7.78529733004755,0.863256117384747,7.90032520768494,0.000119211192562673,0.00224796560967634
2027,ssp126,Temperate,Narrowbody,0.863770885910125,7.99808963986274,0.863263425041929,7.90149113764221,0.00012767742661451,0.00239587735976264
2028,ssp126,Temperate,Narrowbody,0.863657466268926,7.99370803825344,0.86327039313893,7.90258429343731,0.000135750265642479,0.00253455686255853
2029,ssp126,Temperate,Narrowbody,0.86384734461755,8.14188750708394,0.863277068372229,7.90361232055434,0.000143483809520737,0.00266497403647908
2030,ssp126,Temperate,Narrowbody,0.862833327970773,7.80725733556499,0.863283497438308,7.90458286447744,0.00015093215812318,0.00278809879993982
2031,ssp126,Temperate,Narrowbody,0.863057905712958,7.80819885922243,0.863289727033647,7.90550357069072,0.000158149411324351,0.00290490107135674
2032,ssp126,Temperate,Narrowbody,0.863947745322372,8.09525607722081,0.863295803854727,7.90638208467831,0.000165189668998275,0.00301635076914447
2033,ssp126,Temperate,Narrowbody,0.863319621791556,7.94449998725793,0.863301774598028,7.90722605192433,0.000172107031019238,0.00312341781171921
2034,ssp126,Temperate,Narrowbody,0.862969916942633,7.75339078384319,0.863307685960032,7.90804311791291,0.000178955597261264,0.00322707211749639
2035,ssp126,Temperate,Narrowbody,0.863248277447599,7.83416005335589,0.863313584637217,7.90884092812815,0.000185789467598383,0.0033282836048913
2036,ssp126,Temperate,Narrowbody,0.863149159386102,7.8340896894606,0.863319517326066,7.90962712805419,0.000192662741905133,0.00342802219231948
2037,ssp126,Temperate,Narrowbody,0.863332911636354,8.01847122056992,0.863324934513405,7.91028280135907,0.000198938785618345,0.00351120196259987
2038,ssp126,Temperate,Narrowbody,0.863364048744712,7.82149892467955,0.863329391760826,7.91071478334766,0.000204102697793221,0.00356600389262933
2039,ssp126,Temperate,Narrowbody,0.863428921181191,7.90008891506023,0.863333093376956,7.91096934695935,0.000208391178731226,0.00359829824194153
2040,ssp126,Temperate,Narrowbody,0.863065622498744,7.84683245174701,0.863336243670422,7.91109276513353,0.000212040928733308,0.00361395527006935
2041,ssp126,Temperate,Narrowbody,0.8635083824,7.97703197379263,0.863339046949851,7.9111313108096,0.000215288648100415,0.00361884523654578
2042,ssp126,Temperate,Narrowbody,0.863329322959707,7.93719921427544,0.86334170752387,7.91113125692693,0.000218371037134267,0.00361883840090416
2043,ssp126,Temperate,Narrowbody,0.863590702650052,7.98863822674482,0.863344429701107,7.91113887642493,0.000221524796135556,0.00361980502267747
2044,ssp126,Temperate,Narrowbody,0.86321705586726,7.92118771273024,0.863347417790188,7.91120044224297,0.000224986625405615,0.00362761536139894
2045,ssp126,Temperate,Narrowbody,0.863009027777382,7.75569841001384,0.863350876099741,7.91136222732044,0.000228993225245779,0.00364813967660166
2046,ssp126,Temperate,Narrowbody,0.864179517492586,8.10028889806192,0.863355008938392,7.91167050459674,0.000233781295956868,0.00368724822781864
2047,ssp126,Temperate,Narrowbody,0.863138897582939,7.79850424918242,0.863360020614769,7.91217154701126,0.000239587537840731,0.0037508112745833
2048,ssp126,Temperate,Narrowbody,0.863117828986549,7.9812331526782,0.863367043543826,7.91310044889026,0.000247723902156204,0.00386865326133817
2049,ssp126,Temperate,Narrowbody,0.863083602367876,7.86190803680325,0.863376596058866,7.91456191794486,0.000258790900250927,0.00405405757676387
2050,ssp126,Temperate,Narrowbody,0.86331169452954,7.92522157381278,0.863387961346038,7.91640664719167,0.000271958072556549,0.00428808289674954
2051,ssp126,Temperate,Narrowbody,0.863342372468329,7.8627835442775,0.863400422591493,7.91848532964734,0.000286394959506387,0.00455178789718568
2052,ssp126,Temperate,Narrowbody,0.863409741737683,7.96079143341251,0.863413262981382,7.92064865832847,0.000301271101532346,0.00482623125396099
2053,ssp126,Temperate,Narrowbody,0.863309540328527,7.92071445998631,0.863425765701855,7.92274732625171,0.000315756039067102,0.00509247164296573
