year,exp,type,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko,tko_ok_thr_min_per,tko_ok_thr_mid_per,tko_ok_thr_max_per,tko_ok_per,tko_ko_per,tko_per,tko_ok_thr_min_per_loess,tko_ko_per_loess
2015,ssp126,Narrowbody,919098,961287,288401,2168786,401972,2570758,0.357520233331959,0.373931346318868,0.112185199851561,0.843636779502388,0.156363220497612,1,0.357205662752973,0.156456772063626
2015,ssp126,Widebody,40282,1017470,778967,1836719,734039,2570758,0.0156693084296538,0.395785989968717,0.303010629549728,0.714465927948099,0.285534072051901,1,0.015113454303119,0.285163738671921
2015,ssp245,Narrowbody,922185,958585,289591,2170361,400397,2570758,0.358721046477343,0.372880294450119,0.112648098342979,0.844249439270441,0.155750560729559,1,0.356946870499855,0.156671044649859
2015,ssp245,Widebody,40661,1016990,782307,1839958,730800,2570758,0.0158167357643154,0.395599274610835,0.304309857248329,0.715725867623479,0.284274132376521,1,0.0151293157215178,0.285577425382618
2015,ssp370,Narrowbody,920530,959940,289829,2170299,400459,2570758,0.358077267482976,0.373407376345809,0.112740678041263,0.844225321870048,0.155774678129952,1,0.356853229878195,0.156815727291702
2015,ssp370,Widebody,39935,1017923,781140,1838998,731760,2570758,0.0155343287855177,0.395962202587719,0.303855905534477,0.715352436907714,0.284647563092286,1,0.0152124053295545,0.28575172936899
2015,ssp585,Narrowbody,918672,961010,290072,2169754,401004,2570758,0.357354523451838,0.373823595997756,0.112835202691191,0.844013322140785,0.155986677859215,1,0.356794173226718,0.156490280081305
2015,ssp585,Widebody,40861,1016363,780804,1838028,732730,2570758,0.0158945338300999,0.3953553776746,0.303725204783959,0.714975116288659,0.285024883711341,1,0.0149660866701134,0.285518619953113
2016,ssp126,Narrowbody,921628,963502,290347,2175477,404091,2579568,0.357279978663094,0.373512929296688,0.112556443559542,0.843349351519324,0.156650648480676,1,0.357141272629532,0.156511845017905
2016,ssp126,Widebody,40967,1019483,782374,1842824,736744,2579568,0.0158813413718886,0.39521462508451,0.303296520967852,0.714392487424251,0.285607512575749,1,0.0151159138488522,0.285250877933308
2016,ssp245,Narrowbody,925032,961962,289769,2176763,402805,2579568,0.358599579464469,0.372915930109228,0.112332375033339,0.843847884607035,0.156152115392965,1,0.356903579177409,0.156702947119052
2016,ssp245,Widebody,40668,1022074,783935,1846677,732891,2579568,0.0157654304906868,0.396219056834323,0.303901661053324,0.715886148378333,0.284113851621667,1,0.0151354938468532,0.285625564592623
2016,ssp370,Narrowbody,924069,963193,289636,2176898,402670,2579568,0.3582262611414,0.373393141797386,0.112280816012604,0.84390021895139,0.15609978104861,1,0.3568298983088,0.15682873843623
2016,ssp370,Widebody,40740,1019632,785465,1845837,733731,2579568,0.0157933421410097,0.395272386694206,0.304494783622684,0.7155605124579,0.2844394875421,1,0.0151974306860077,0.285765753865078
2016,ssp585,Narrowbody,919992,966384,289200,2175576,403992,2579568,0.356645763941869,0.374630170633222,0.112111795463426,0.843387730038518,0.156612269961482,1,0.356778251056571,0.156536341566082
2016,ssp585,Widebody,39463,1021413,780972,1841848,737720,2579568,0.0152982980095892,0.395962812377887,0.302753019110177,0.714014129497652,0.285985870502348,1,0.0149646698042353,0.285542748409217
2017,ssp126,Narrowbody,917199,965521,286461,2169181,403339,2572520,0.356537169779049,0.375321085939079,0.111354236313032,0.84321249203116,0.15678750796884,1,0.35707815867246,0.156565550100003
2017,ssp126,Widebody,38139,1020745,779026,1837910,734610,2572520,0.014825540714941,0.396787974437517,0.302826022732574,0.714439537885031,0.285560462114969,1,0.0151178534295279,0.285335701886465
2017,ssp245,Narrowbody,919445,962178,288460,2170083,402437,2572520,0.357410243652139,0.374021581950772,0.112131295383515,0.843563120986426,0.156436879013574,1,0.356859982562384,0.156734883872057
2017,ssp245,Widebody,39054,1019807,779245,1838106,734414,2572520,0.0151812230808701,0.396423351421952,0.302911153266058,0.71451572776888,0.28548427223112,1,0.0151407209246064,0.285673627735387
2017,ssp370,Narrowbody,909091,969471,287578,2166140,406380,2572520,0.35338539642063,0.376856545332981,0.111788440906193,0.842030382659804,0.157969617340196,1,0.35680380161115,0.156843638034008
2017,ssp370,Widebody,34801,1019037,777591,1831429,741091,2572520,0.0135279803461198,0.396124034021115,0.302268203940105,0.711920218307341,0.288079781692659,1,0.0151819266384509,0.285782710642238
2017,ssp585,Narrowbody,917588,964188,288678,2170454,402066,2572520,0.356688383375056,0.374802916984125,0.112216037193102,0.843707337552283,0.156292662447717,1,0.356758606979868,0.156583450656072
2017,ssp585,Widebody,37472,1021089,779714,1838275,734245,2572520,0.0145662618755151,0.39692169545815,0.30309346477384,0.714581422107506,0.285418577892495,1,0.0149621413607899,0.285570159364832
2018,ssp126,Narrowbody,917696,964193,287102,2168991,403529,2572520,0.356730365555953,0.37480486060361,0.111603408331131,0.843138634490694,0.156861365509306,1,0.357016339873541,0.156617897518078
2018,ssp126,Widebody,37299,1020104,780267,1837670,734850,2572520,0.0144990126413011,0.396538802419418,0.303308429088987,0.714346244149705,0.285653755850295,1,0.0151192900398262,0.285418213552235
2018,ssp245,Narrowbody,912584,967906,286983,2167473,405047,2572520,0.354743208993516,0.376248192433878,0.111557150187365,0.842548551614759,0.157451448385241,1,0.35681619088121,0.156766794223663
2018,ssp245,Widebody,35918,1020482,778029,1834429,738091,2572520,0.0139621849392813,0.396685740052555,0.302438465007075,0.713086389998912,0.286913610001088,1,0.0151449837520528,0.285721489518208
