year,exp,type,zone,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko,tko_ok_thr_min_per,tko_ok_thr_mid_per,tko_ok_thr_max_per,tko_ok_per,tko_ko_per,tko_per,tko_ok_thr_min_per_loess,tko_ko_per_loess
2018,ssp126,Narrowbody,Temperate,554904,512773,185241,1252918,239202,1492120,0.371889660349034,0.343653995657186,0.124146181272284,0.839689837278503,0.160310162721497,1,0.372308605229098,0.159766958668042
2018,ssp126,Widebody,Temperate,27303,571983,481708,1080994,411126,1492120,0.0182981261560732,0.383335790687076,0.322834624561027,0.724468541404177,0.275531458595823,1,0.0190120409718303,0.275327120302338
2018,ssp245,Narrowbody,Temperate,549943,517016,185341,1252300,239820,1492120,0.368564860735062,0.346497600729164,0.124213200010723,0.839275661474948,0.160724338525052,1,0.372175579732835,0.159944356084492
2018,ssp245,Widebody,Temperate,25769,573564,478402,1077735,414385,1492120,0.0172700587084149,0.384395356941801,0.320618985068225,0.722284400718441,0.277715599281559,1,0.0188918458339339,0.275451612446329
2018,ssp370,Narrowbody,Temperate,550085,516544,184523,1251152,240968,1492120,0.368660027343645,0.346181272283731,0.12366498673029,0.838506286357666,0.161493713642334,1,0.372276380248233,0.16011291851626
2018,ssp370,Widebody,Temperate,25780,572240,479313,1077333,414787,1492120,0.0172774307696432,0.383508028844865,0.321229525775407,0.722014985389915,0.277985014610085,1,0.0189802858766999,0.275568131739687
2018,ssp585,Narrowbody,Temperate,551239,515497,185230,1251966,240154,1492120,0.369433423585234,0.345479586092271,0.124138809211055,0.839051818888561,0.160948181111439,1,0.372255446243248,0.159945239560221
2018,ssp585,Widebody,Temperate,25743,572357,480354,1078454,413666,1492120,0.0172526338364207,0.383586440768839,0.32192719084256,0.722766265447819,0.277233734552181,1,0.0187336270335404,0.275382528326911
2019,ssp126,Narrowbody,Temperate,555849,512926,186429,1255204,236916,1492120,0.372522987427285,0.343756534326998,0.124942363884942,0.841221885639225,0.158778114360775,1,0.372283542481698,0.159807904358041
2019,ssp126,Widebody,Temperate,29356,570498,482870,1082724,409396,1492120,0.0196740208562314,0.382340562421253,0.323613382301692,0.725627965579176,0.274372034420824,1,0.0190139339916083,0.275365211975386
2019,ssp245,Narrowbody,Temperate,551552,514440,185780,1251772,240348,1492120,0.369643192236549,0.344771198026968,0.124507412272471,0.838921802535989,0.161078197464011,1,0.372173826578447,0.159946953437161
2019,ssp245,Widebody,Temperate,26932,571160,480401,1078493,413627,1492120,0.0180494866364636,0.382784226469721,0.321958689649626,0.722792402755811,0.277207597244189,1,0.0189050319130825,0.275445864272528
2019,ssp370,Narrowbody,Temperate,555253,511604,185266,1252123,239997,1492120,0.372123555746187,0.342870546604831,0.124162935956894,0.839157038307911,0.160842961692089,1,0.372239178370319,0.160115874167535
2019,ssp370,Widebody,Temperate,28731,570084,481410,1080225,411895,1492120,0.019255153740986,0.382063104844114,0.322634908720478,0.723953167305579,0.276046832694421,1,0.0189551625002715,0.275576205918253
2019,ssp585,Narrowbody,Temperate,557367,511143,185477,1253987,238133,1492120,0.373540331876793,0.342561590220626,0.124304345495,0.840406267592419,0.159593732407581,1,0.372225468286269,0.159969420384957
2019,ssp585,Widebody,Temperate,27412,572558,482979,1082949,409171,1492120,0.018371176580972,0.383721148433102,0.32368643272659,0.725778757740664,0.274221242259336,1,0.0187247366769062,0.275398932081066
2020,ssp126,Narrowbody,Temperate,557805,512085,187801,1257691,238517,1496208,0.372812469923968,0.342255221199192,0.125517976110273,0.840585667233433,0.159414332766567,1,0.37225792772125,0.159847923633818
2020,ssp126,Widebody,Temperate,28206,572630,484704,1085540,410668,1496208,0.0188516569888679,0.382720851646295,0.323954958134163,0.725527466769326,0.274472533230674,1,0.0190149868534254,0.27540298410545
2020,ssp245,Narrowbody,Temperate,560238,510069,187309,1257616,238592,1496208,0.374438580732091,0.340907814956209,0.125189144824784,0.840535540513084,0.159464459486916,1,0.372169668173159,0.159950802268229
2020,ssp245,Widebody,Temperate,28884,571466,485819,1086169,410039,1496208,0.0193048025408232,0.381942884946478,0.324700175376686,0.725947862863987,0.274052137136013,1,0.0189165957787465,0.275442397992117
2020,ssp370,Narrowbody,Temperate,556910,512720,186836,1256466,239742,1496208,0.372214291061136,0.34267962743148,0.124873012308449,0.839766930801065,0.160233069198935,1,0.372198622827254,0.160121209994597
2020,ssp370,Widebody,Temperate,28217,572888,483028,1084133,412075,1496208,0.0188590089078524,0.382893287564296,0.32283479302343,0.724587089495578,0.275412910504422,1,0.0189297948636645,0.275588158627509
2020,ssp585,Narrowbody,Temperate,559303,510459,188134,1257896,238312,1496208,0.373813667618406,0.341168473902024,0.125740538748623,0.840722680269053,0.159277319730947,1,0.372190577352246,0.159995473319108
2020,ssp585,Widebody,Temperate,29482,570337,486042,1085861,410347,1496208,0.0197044795910729,0.381188310716157,0.32484921882519,0.72574200913242,0.27425799086758,1,0.0187145915197516,0.275420007579273
2021,ssp126,Narrowbody,Temperate,557952,509688,186913,1254553,237567,1492120,0.373932391496663,0.341586467576334,0.125266734578988,0.840785593651985,0.159214406348015,1,0.372231801994528,0.159887024871263
2021,ssp126,Widebody,Temperate,28863,569480,485417,1083760,408360,1492120,0.0193436184757258,0.381658311663941,0.32532034956974,0.726322279709407,0.273677720290593,1,0.01901521713506,0.275440439481248
2021,ssp245,Narrowbody,Temperate,552739,514295,186623,1253657,238463,1492120,0.370438704661823,0.344674020856231,0.125072380237514,0.840185105755569,0.159814894244431,1,0.372163159583099,0.159955903252711
2021,ssp245,Widebody,Temperate,26786,571874,481099,1079759,412361,1492120,0.0179516392783422,0.383262740262177,0.322426480443932,0.723640859984452,0.276359140015548,1,0.0189265174630327,0.275441169934106
2021,ssp370,Narrowbody,Temperate,559186,507339,186843,1253368,238752,1492120,0.374759402729003,0.340012197410396,0.125219821462081,0.83999142160148,0.16000857839852,1,0.372154719140129,0.16012895156339
2021,ssp370,Widebody,Temperate,30165,568877,484044,1083086,409034,1492120,0.0202162024502051,0.381254188671152,0.324400182290969,0.725870573412326,0.274129426587674,1,0.0189042592788364,0.275604024514869
2021,ssp585,Narrowbody,Temperate,553340,514209,185927,1253476,238644,1492120,0.370841487279843,0.344616384741174,0.124605929817977,0.840063801838994,0.159936198161006,1,0.372150695222047,0.160023430032644
2021,ssp585,Widebody,Temperate,26592,572211,481020,1079823,412297,1492120,0.01782162292577,0.383488593410718,0.322373535640565,0.723683751977053,0.276316248022947,1,0.0187031923847301,0.275445858444658
2022,ssp126,Narrowbody,Temperate,560179,507887,186820,1254886,237234,1492120,0.375424898801705,0.340379460097043,0.12520440715224,0.841008766050988,0.158991233949012,1,0.372205206348302,0.159925216446266
2022,ssp126,Widebody,Temperate,30748,569760,483243,1083751,408369,1492120,0.020606921695306,0.381845964131571,0.32386336219607,0.726316248022947,0.273683751977053,1,0.0190146424142909,0.275477580891498
2022,ssp245,Narrowbody,Temperate,552597,514033,186039,1252669,239451,1492120,0.37034353805324,0.344498431761521,0.124680990805029,0.839522960619789,0.160477039380211,1,0.372154355874396,0.159962257065623
2022,ssp245,Widebody,Temperate,27990,570014,481428,1079432,412688,1492120,0.018758544889151,0.382016191727207,0.322646972093397,0.723421708709755,0.276578291290245,1,0.018934776998048,0.275442136427507
2022,ssp370,Narrowbody,Temperate,555053,511892,186598,1253543,238577,1492120,0.371989518269308,0.343063560571536,0.125055625552905,0.840108704393749,0.159891295606252,1,0.372107472830035,0.160139124439853
2022,ssp370,Widebody,Temperate,27643,570779,482134,1080556,411564,1492120,0.0185259898667667,0.382528885076267,0.323120124386779,0.724174999329813,0.275825000670187,1,0.0188786320577449,0.275623838227749
2022,ssp585,Narrowbody,Temperate,552576,514358,186030,1252964,239156,1492120,0.370329464118167,0.344716242661448,0.12467495911857,0.839720665898185,0.160279334101815,1,0.372105743676539,0.160053322195536
2022,ssp585,Widebody,Temperate,26379,571494,482048,1079921,412199,1492120,0.0176788730128944,0.383008069056108,0.323062488271721,0.723749430340723,0.276250569659277,1,0.0186905400944955,0.275476588300349
2023,ssp126,Narrowbody,Temperate,549301,517804,184326,1251431,240689,1492120,0.368134600434281,0.347025708388065,0.123532959815564,0.838693268637911,0.161306731362089,1,0.372178181829344,0.159962506734718
2023,ssp126,Widebody,Temperate,25232,572833,478193,1076258,415862,1492120,0.016910168082996,0.38390544996381,0.320478915904887,0.721294533951693,0.278705466048307,1,0.0190132802688966,0.275514411124918
2023,ssp245,Narrowbody,Temperate,558046,510407,186451,1254904,237216,1492120,0.373995389110795,0.342068332305713,0.124957108007399,0.841020829423907,0.158979170576093,1,0.37214331211318,0.159969864381981
2023,ssp245,Widebody,Temperate,28869,572327,482182,1083378,408742,1492120,0.0193476396000322,0.383566335147307,0.323152293381229,0.726066268128569,0.273933731871431,1,0.0189413544158991,0.275445253801333
2023,ssp370,Narrowbody,Temperate,558891,507734,187522,1254147,237973,1492120,0.374561697450607,0.340276921427231,0.125674878696083,0.840513497573922,0.159486502426078,1,0.372056889418066,0.160151754189928
2023,ssp370,Widebody,Temperate,30053,568726,484482,1083261,408859,1492120,0.0201411414631531,0.381152990376109,0.324693724365333,0.725987856204595,0.274012143795405,1,0.0188529895123474,0.275647634413567
2023,ssp585,Narrowbody,Temperate,555073,512272,185552,1252897,239223,1492120,0.372002922016996,0.343318231777605,0.12435460954883,0.839675763343431,0.160324236656569,1,0.372055644496592,0.160085181477757
2023,ssp585,Widebody,Temperate,27331,572230,481371,1080932,411188,1492120,0.0183168914028362,0.383501326971021,0.322608771412487,0.724426989786344,0.275573010213656,1,0.0186766354717016,0.275512300769472
2024,ssp126,Narrowbody,Temperate,553203,516513,185773,1255489,240719,1496208,0.369736694363351,0.345214702768599,0.124162549592035,0.839113946723985,0.160886053276015,1,0.372150769484428,0.159998904112509
2024,ssp126,Widebody,Temperate,27271,572327,482467,1082065,414143,1496208,0.0182267438751831,0.382518339696085,0.322459845155219,0.723204928726487,0.276795071273513,1,0.0190111482766557,0.275550932970225
2024,ssp245,Narrowbody,Temperate,555244,515184,186888,1257316,238892,1496208,0.371100809513116,0.344326457284014,0.124907766834558,0.840335033631688,0.159664966368312,1,0.372130083365579,0.159978725876799
2024,ssp245,Widebody,Temperate,27462,572644,483998,1084104,412104,1496208,0.0183543999230054,0.382730208634094,0.323483098606611,0.72456770716371,0.27543229283629,1,0.0189462297486927,0.275450478384593
2024,ssp370,Narrowbody,Temperate,556574,513015,187932,1257521,238687,1496208,0.371989723353972,0.34287679253152,0.125605530781816,0.840472046667308,0.159527953332692,1,0.37200297442531,0.160166866379557
2024,ssp370,Widebody,Temperate,27407,573278,483264,1083949,412259,1496208,0.0183176403280827,0.383153946510111,0.322992525103462,0.724464111941655,0.275535888058345,1,0.0188274079546015,0.275675447719738
2024,ssp585,Narrowbody,Temperate,560354,509941,187226,1257521,238687,1496208,0.374516110059564,0.34082226535348,0.125133671254264,0.840472046667308,0.159527953332692,1,0.372000319463073,0.160119039549276
2024,ssp585,Widebody,Temperate,29214,572628,484822,1086664,409544,1496208,0.019525360110359,0.382719514933753,0.324033824174179,0.726278699218291,0.273721300781709,1,0.0186614793390019,0.275553099475153
