year,exp,zone,type,itr_sum,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max, tko_ok , tko_ko , tko ,itr_avg,tko_ok_thr_min_rel,tko_ok_thr_mid_rel,tko_ok_thr_max_rel,tko_ok_rel,tko_ko_rel,tko_rel,tko_ok_thr_min_rel_loess,tko_ko_rel_loess,rel_total,rel_success
2017,ssp585,Temperate,Narrowbody,30219732,509050,428746,341798," 1,279,594 "," 212,526 "," 1,492,120 ",20.25288296,0.341158888,0.28734016,0.229068708,0.857567756,0.142432244,1,0.341371423,0.142175811,0.341158888,0.397821497
2017,ssp585,Temperate,Widebody,62109036,73043,655865,325927," 1,054,835 "," 437,285 "," 1,492,120 ",41.62469113,0.048952497,0.439552449,0.218432164,0.70693711,0.29306289,1,0.049650428,0.293117781,0.048952497,0.069245901
2018,ssp126,Temperate,Narrowbody,30216153,509176,428499,341639," 1,279,314 "," 212,806 "," 1,492,120 ",20.25048374,0.341243332,0.287174624,0.228962148,0.857380103,0.142619897,1,0.341434924,0.142010222,0.341243332,0.398007057
2018,ssp126,Temperate,Widebody,62108054,73031,656257,325310," 1,054,598 "," 437,522 "," 1,492,120 ",41.62403346,0.048944455,0.439815162,0.218018658,0.706778275,0.293221725,1,0.049885722,0.293083857,0.048944455,0.069250084
2018,ssp245,Temperate,Narrowbody,30392570,505800,431903,341466," 1,279,169 "," 212,951 "," 1,492,120 ",20.36871784,0.338980779,0.289455942,0.228846205,0.857282926,0.142717074,1,0.341390073,0.142208378,0.338980779,0.39541296
2018,ssp245,Temperate,Widebody,62648007,69912,658677,322277," 1,050,866 "," 441,254 "," 1,492,120 ",41.98590437,0.04685414,0.441437016,0.21598598,0.704277136,0.295722864,1,0.049677353,0.293187591,0.04685414,0.066527987
2018,ssp370,Temperate,Narrowbody,30435258,505636,431502,341058," 1,278,196 "," 213,924 "," 1,492,120 ",20.39732522,0.338870868,0.289187197,0.228572769,0.856630834,0.143369166,1,0.34129709,0.14233416,0.338870868,0.395585654
2018,ssp370,Temperate,Widebody,62676913,70229,657282,322778," 1,050,289 "," 441,831 "," 1,492,120 ",42.00527628,0.04706659,0.440502104,0.216321744,0.703890438,0.296109562,1,0.049959576,0.293346891,0.04706659,0.066866358
2018,ssp585,Temperate,Narrowbody,30345638,506271,430804,341942," 1,279,017 "," 213,103 "," 1,492,120 ",20.3372652,0.339296437,0.288719406,0.229165215,0.857181058,0.142818942,1,0.341365453,0.142193141,0.339296437,0.395828202
2018,ssp585,Temperate,Widebody,62491792,70711,657050,323642," 1,051,403 "," 440,717 "," 1,492,120 ",41.88121091,0.04738962,0.440346621,0.216900785,0.704637027,0.295362973,1,0.04962362,0.293134627,0.04738962,0.067253945
2019,ssp126,Temperate,Narrowbody,30082051,510220,428323,343019," 1,281,562 "," 210,558 "," 1,492,120 ",20.16061114,0.341943007,0.287056671,0.229887006,0.858886685,0.141113315,1,0.341417152,0.142042877,0.341943007,0.39812354
2019,ssp126,Temperate,Widebody,61990612,74985,655101,326280," 1,056,366 "," 435,754 "," 1,492,120 ",41.5453306,0.050254001,0.439040426,0.21866874,0.707963167,0.292036833,1,0.049880325,0.29313024,0.050254001,0.07098392
2019,ssp245,Temperate,Narrowbody,30383127,506998,429859,341730," 1,278,587 "," 213,533 "," 1,492,120 ",20.36238853,0.339783664,0.288086079,0.229023135,0.856892877,0.143107123,1,0.341393537,0.142204792,0.339783664,0.396529919
2019,ssp245,Temperate,Widebody,62519329,71486,655741,324451," 1,051,678 "," 440,442 "," 1,492,120 ",41.89966612,0.047909015,0.439469346,0.217442967,0.704821328,0.295178672,1,0.049685321,0.293188026,0.047909015,0.067973277
2019,ssp370,Temperate,Narrowbody,30240575,508998,428178,341905," 1,279,081 "," 213,039 "," 1,492,120 ",20.26685114,0.341124038,0.286959494,0.229140418,0.85722395,0.14277605,1,0.341284824,0.142332044,0.341124038,0.397940396
2019,ssp370,Temperate,Widebody,62163531,74986,653510,324771," 1,053,267 "," 438,853 "," 1,492,120 ",41.66122127,0.050254671,0.437974158,0.217657427,0.705886256,0.294113744,1,0.049909516,0.293360036,0.050254671,0.071193724
2019,ssp585,Temperate,Narrowbody,30097033,510474,428242,341654," 1,280,370 "," 211,750 "," 1,492,120 ",20.17065149,0.342113235,0.287002386,0.228972201,0.858087821,0.141912179,1,0.341355643,0.142211817,0.342113235,0.398692565
2019,ssp585,Temperate,Widebody,61845749,74305,655459,326802," 1,056,566 "," 435,554 "," 1,492,120 ",41.44824189,0.049798274,0.439280353,0.219018578,0.708097204,0.291902796,1,0.049594562,0.293156535,0.049798274,0.070326889
2020,ssp126,Temperate,Narrowbody,30209971,511831,428498,343791," 1,284,120 "," 212,088 "," 1,496,208 ",20.19102389,0.342085459,0.286389326,0.229774871,0.858249655,0.141750345,1,0.341399039,0.142074922,0.342085459,0.398585023
2020,ssp126,Temperate,Widebody,62077750,74180,656217,328714," 1,059,111 "," 437,097 "," 1,496,208 ",41.49005339,0.049578668,0.438586747,0.219698063,0.707863479,0.292136521,1,0.049873876,0.293175986,0.049578668,0.070039873
2020,ssp245,Temperate,Narrowbody,30135815,512705,427377,343731," 1,283,813 "," 212,395 "," 1,496,208 ",20.141461,0.342669602,0.285640098,0.229734769,0.85804447,0.14195553,1,0.341395167,0.142202371,0.342669602,0.399361122
2020,ssp245,Temperate,Widebody,61886421,76417,654158,329397," 1,059,972 "," 436,236 "," 1,496,208 ",41.36218169,0.051073781,0.437210602,0.220154551,0.708438934,0.291561066,1,0.049691097,0.293190829,0.051073781,0.072093414
2020,ssp370,Temperate,Narrowbody,30275098,510689,429446,342867," 1,283,002 "," 213,206 "," 1,496,208 ",20.23455052,0.341322196,0.287022927,0.22915731,0.857502433,0.142497567,1,0.341269797,0.142331828,0.341322196,0.398042248
2020,ssp370,Temperate,Widebody,62198011,74438,656162,326997," 1,057,597 "," 438,611 "," 1,496,208 ",41.57043193,0.049751104,0.438549988,0.218550496,0.706851587,0.293148413,1,0.049858621,0.293377541,0.049751104,0.070384088
2020,ssp585,Temperate,Narrowbody,30117130,512678,427188,344370," 1,284,236 "," 211,972 "," 1,496,208 ",20.12897314,0.342651556,0.285513779,0.230161849,0.858327184,0.141672816,1,0.341341924,0.142231876,0.342651556,0.399208557
2020,ssp585,Temperate,Widebody,61942326,76107,653608,329806," 1,059,521 "," 436,687 "," 1,496,208 ",41.39954369,0.050866591,0.436843006,0.220427908,0.708137505,0.291862495,1,0.049563244,0.293183605,0.050866591,0.071831516
2021,ssp126,Temperate,Narrowbody,30010890,511482,426012,343475," 1,280,969 "," 211,151 "," 1,492,120 ",20.11291985,0.342788784,0.285507868,0.230192612,0.858489264,0.141510736,1,0.341380595,0.142106379,0.342788784,0.399293035
2021,ssp126,Temperate,Widebody,61759234,75333,653156,328855," 1,057,344 "," 434,776 "," 1,492,120 ",41.39025791,0.050487226,0.437736911,0.220394472,0.70861861,0.29138139,1,0.049866424,0.293221085,0.050487226,0.07124739
2021,ssp245,Temperate,Narrowbody,30271452,507794,429659,342150," 1,279,603 "," 212,517 "," 1,492,120 ",20.28754595,0.340317133,0.287952041,0.229304614,0.857573788,0.142426212,1,0.341395005,0.142201122,0.340317133,0.396837144
2021,ssp245,Temperate,Widebody,62310397,71731,656510,325572," 1,053,813 "," 438,307 "," 1,492,120 ",41.75963664,0.048073211,0.43998472,0.218194247,0.706252178,0.293747822,1,0.049694672,0.293195951,0.048073211,0.068068054
2021,ssp370,Temperate,Narrowbody,30097328,511753,425055,343252," 1,280,060 "," 212,060 "," 1,492,120 ",20.17084962,0.342970405,0.284866499,0.23004316,0.857880063,0.142119937,1,0.341252017,0.142333517,0.342970405,0.399788291
2021,ssp370,Temperate,Widebody,61790431,77598,651161,327635," 1,056,394 "," 435,726 "," 1,492,120 ",41.41117008,0.052005201,0.436399887,0.219576844,0.707981932,0.292018068,1,0.049806961,0.293399459,0.052005201,0.073455548
2021,ssp585,Temperate,Narrowbody,30220273,507873,429900,342145," 1,279,918 "," 212,202 "," 1,492,120 ",20.25324507,0.340370077,0.288113557,0.229301263,0.857784897,0.142215103,1,0.34132423,0.142253354,0.340370077,0.396801201
2021,ssp585,Temperate,Widebody,62250047,72059,656520,324802," 1,053,381 "," 438,739 "," 1,492,120 ",41.71919328,0.048293033,0.439991422,0.217678203,0.705962657,0.294037343,1,0.049529658,0.293215934,0.048293033,0.068407347
2022,ssp126,Temperate,Narrowbody,30014138,512101,426482,342553," 1,281,136 "," 210,984 "," 1,492,120 ",20.11509588,0.34320363,0.285822856,0.229574699,0.858601185,0.141398815,1,0.341361829,0.14213727,0.34320363,0.399724151
2022,ssp126,Temperate,Widebody,61725656,78826,651165,327510," 1,057,501 "," 434,619 "," 1,492,120 ",41.36776288,0.052828191,0.436402568,0.21949307,0.708723829,0.291276171,1,0.04985802,0.293265528,0.052828191,0.074539882
2022,ssp245,Temperate,Narrowbody,30294276,508184,428906,342122," 1,279,212 "," 212,908 "," 1,492,120 ",20.3028423,0.340578506,0.28744739,0.229285848,0.857311744,0.142688256,1,0.341393093,0.142201055,0.340578506,0.397263315
2022,ssp245,Temperate,Widebody,62309735,72403,655141,325345," 1,052,889 "," 439,231 "," 1,492,120 ",41.75919389,0.048523577,0.439067233,0.218042115,0.705632925,0.294367075,1,0.04969604,0.293203338,0.048523577,0.068766033
2022,ssp370,Temperate,Narrowbody,30194202,508692,428720,342592," 1,280,004 "," 212,116 "," 1,492,120 ",20.23577271,0.340918961,0.287322735,0.229600836,0.857842533,0.142157467,1,0.341231496,0.14233712,0.340918961,0.397414383
2022,ssp370,Temperate,Widebody,62156846,74004,653951,326140," 1,054,095 "," 438,025 "," 1,492,120 ",41.65673349,0.049596547,0.43826971,0.218574914,0.706441171,0.293558829,1,0.049754608,0.293425843,0.049596547,0.070206196
2022,ssp585,Temperate,Narrowbody,30254168,507222,430337,342424," 1,279,983 "," 212,137 "," 1,492,120 ",20.27596066,0.339933785,0.288406428,0.229488245,0.857828459,0.142171541,1,0.341302491,0.142276286,0.339933785,0.39627245
2022,ssp585,Temperate,Widebody,62373561,71733,655515,325654," 1,052,902 "," 439,218 "," 1,492,120 ",41.80196981,0.048074552,0.439317883,0.218249202,0.705641637,0.294358363,1,0.049493793,0.293253624,0.048074552,0.068128848
2023,ssp126,Temperate,Narrowbody,30475382,504830,432491,341103," 1,278,424 "," 213,696 "," 1,492,120 ",20.42421577,0.338330697,0.289850012,0.228602927,0.856783637,0.143216363,1,0.341342748,0.142167615,0.338330697,0.394884639
2023,ssp126,Temperate,Widebody,62789791,69703,658146,321416," 1,049,265 "," 442,855 "," 1,492,120 ",42.08092859,0.046714071,0.441081146,0.215408948,0.703204166,0.296795834,1,0.049848714,0.293309303,0.046714071,0.066430311
2023,ssp245,Temperate,Narrowbody,30018577,511032,428093,341891," 1,281,016 "," 211,104 "," 1,492,120 ",20.11807245,0.342487199,0.286902528,0.229131035,0.858520762,0.141479238,1,0.341389472,0.142202178,0.342487199,0.398927102
2023,ssp245,Temperate,Widebody,61719388,75883,654641,326742," 1,057,266 "," 434,854 "," 1,492,120 ",41.36355556,0.050855829,0.43873214,0.218978366,0.708566335,0.291433665,1,0.049695195,0.29321294,0.050855829,0.071772856
2023,ssp370,Temperate,Narrowbody,30041009,511731,425465,343067," 1,280,263 "," 211,857 "," 1,492,120 ",20.13310466,0.34295566,0.285141276,0.229919175,0.858016111,0.141983889,1,0.341208244,0.142342645,0.34295566,0.399707716
2023,ssp370,Temperate,Widebody,61689511,77213,650995,328937," 1,057,145 "," 434,975 "," 1,492,120 ",41.3435372,0.051747179,0.436288636,0.220449428,0.708485242,0.291514758,1,0.049701635,0.293456744,0.051747179,0.073039176
