year,exp,zone,type,avg_todr,avg_thr,avg_pax,avg_todr_loess,avg_thr_loess,avg_pax_loess,avg_todr_per,avg_thr_per,avg_pax_per
2020,ssp245,Subtropical,Narrowbody,2865.23912371134,0.86603628004433,10.0204270708733,2869.8644877726,0.865560131561854,9.76508032197649,0.000195378932400389,0.000217527302586942,0.00547189371063524
2021,ssp245,Subtropical,Narrowbody,2866.40922680412,0.866175934150464,9.94199874546747,2869.97098168499,0.865594748852477,9.77455648133981,0.000232493827376707,0.000257530093341093,0.00644761655018033
2022,ssp245,Subtropical,Narrowbody,2874.94666666667,0.865010479285417,9.480706265625,2870.0751849598,0.865628284855818,9.78362094430211,0.000268810397158874,0.000296283378196495,0.00738094863139895
2023,ssp245,Subtropical,Narrowbody,2870.18020725389,0.865876746732642,9.83493270859389,2870.17691966573,0.865660709179037,9.79226189508089,0.000304266629735688,0.000333752036019361,0.00827067332966301
2024,ssp245,Subtropical,Narrowbody,2872.78307291667,0.864828583584375,9.54147763727251,2870.27600787146,0.865691991429292,9.80046751789363,0.000338800513095631,0.000369900945676544,0.00911557402034444
2025,ssp245,Subtropical,Narrowbody,2869.16611398964,0.865889402069948,9.70751172181526,2870.37227164569,0.865722101213742,9.80822599695781,0.000372350035228135,0.000404694986034894,0.00991443407881499
2026,ssp245,Subtropical,Narrowbody,2872.52348958333,0.864978637898958,9.57437443612308,2870.46574630299,0.865750949104706,9.81549323370762,0.000404927503841618,0.000438030816921495,0.0106627128492846
2027,ssp245,Subtropical,Narrowbody,2872.20839378238,0.865823775741969,9.90829966404621,2870.55677930498,0.865778510852549,9.82225252591095,0.000436654015078133,0.000469880416123092,0.0113586905686425
2028,ssp245,Subtropical,Narrowbody,2870.01362694301,0.865712149065285,9.90686923697219,2870.64566094096,0.865804853831496,9.82853315228596,0.000467630739575514,0.000500321639445972,0.0120053819512781
2029,ssp245,Subtropical,Narrowbody,2869.55974093265,0.865651114818653,9.8115155747722,2870.73268150025,0.865830045415773,9.83436439155077,0.000497958847971748,0.000529432342696034,0.0126058017115819
2030,ssp245,Subtropical,Narrowbody,2868.91840206186,0.866560939039175,10.2124876420192,2870.81813127213,0.865854152979607,9.83977552242351,0.000527739510904509,0.000557290381678539,0.0131629645639435
2031,ssp245,Subtropical,Narrowbody,2875.96078125,0.865486235554167,9.65595272767002,2870.90230054593,0.865877243897223,9.84479582362233,0.000557073899012263,0.000583973612200286,0.0136798852227535
2032,ssp245,Subtropical,Narrowbody,2872.37937823834,0.865848734211399,9.80418091728903,2870.98547961094,0.865899385542847,9.84945457386534,0.000586063182932523,0.000609559890067177,0.014159578402401
2033,ssp245,Subtropical,Narrowbody,2876.7315625,0.865696988917188,9.55493038595546,2871.06795875647,0.865920645290705,9.85378105187068,0.00061480853330312,0.00063412707108447,0.0146050588172768
2034,ssp245,Subtropical,Narrowbody,2871.5414507772,0.866249857421244,9.8141319062593,2871.15002827183,0.865941090515023,9.85780453635649,0.000643411120762362,0.000657753011058708,0.0150193411817708
2035,ssp245,Subtropical,Narrowbody,2871.45222797927,0.86611230252487,9.87400927157405,2871.23197844631,0.865960788590026,9.86155430604089,0.000671972115947921,0.000680515565795408,0.0154054402102725
2036,ssp245,Subtropical,Narrowbody,2868.16510309278,0.866551772067011,10.1774354063278,2871.31409956922,0.865979806889941,9.86505963964203,0.000700592689497787,0.000702492591100984,0.0157663706171727
2037,ssp245,Subtropical,Narrowbody,2872.05844559586,0.865930636977721,9.84288432648442,2871.39054478159,0.865997860041381,9.86810853800546,0.000727235114071745,0.000723354317321962,0.0160803036837864
2038,ssp245,Subtropical,Narrowbody,2871.97,0.866385422431088,9.98789874885355,2871.45671718499,0.866014684344996,9.87052118276826,0.000750297294316076,0.000742796020731419,0.0163287242208963
