year,exp,type,zone,vlof_avg,vlof_avg_loess
2015,ssp126,Narrowbody,Temperate,83.1004,83.1187471303164
2015,ssp126,Widebody,Temperate,89.613,89.6358600570803
2015,ssp245,Narrowbody,Temperate,83.0905,83.1296394506818
2015,ssp245,Widebody,Temperate,89.60855,89.6453740896586
2015,ssp370,Narrowbody,Temperate,83.08745,83.1496406838298
2015,ssp370,Widebody,Temperate,89.60335,89.6687401183648
2015,ssp585,Narrowbody,Temperate,83.13725,83.137121295681
2015,ssp585,Widebody,Temperate,89.6562,89.6543498732397
2016,ssp126,Narrowbody,Temperate,83.077,83.1216194889598
2016,ssp126,Widebody,Temperate,89.5916,89.6388198991344
2016,ssp245,Narrowbody,Temperate,83.11915,83.1309948448395
2016,ssp245,Widebody,Temperate,89.64085,89.6470071254175
2016,ssp370,Narrowbody,Temperate,83.1352,83.1497137141759
2016,ssp370,Widebody,Temperate,89.6568,89.6687564328368
2016,ssp585,Narrowbody,Temperate,83.13695,83.1377188706242
2016,ssp585,Widebody,Temperate,89.6477,89.6551255997792
2017,ssp126,Narrowbody,Temperate,83.18725,83.12444318932
2017,ssp126,Widebody,Temperate,89.7063,89.6417286574871
2017,ssp245,Narrowbody,Temperate,83.11505,83.132401584691
2017,ssp245,Widebody,Temperate,89.62915,89.6486819840923
2017,ssp370,Narrowbody,Temperate,83.2067,83.1499473290837
2017,ssp370,Widebody,Temperate,89.7167,89.6689339409595
2017,ssp585,Narrowbody,Temperate,83.1112,83.1384942261786
2017,ssp585,Widebody,Temperate,89.6255,89.6560704147245
2018,ssp126,Narrowbody,Temperate,83.15035,83.1272171110426
2018,ssp126,Widebody,Temperate,89.67225,89.6445851017437
2018,ssp245,Narrowbody,Temperate,83.1862,83.1338589400022
2018,ssp245,Widebody,Temperate,89.6952,89.6503980691574
2018,ssp370,Narrowbody,Temperate,83.2275,83.1503454265608
2018,ssp370,Widebody,Temperate,89.74555,89.6692767899405
2018,ssp585,Narrowbody,Temperate,83.21495,83.1394509852317
2018,ssp585,Widebody,Temperate,89.7312,89.6571876147371
2019,ssp126,Narrowbody,Temperate,83.1402,83.1299401337735
2019,ssp126,Widebody,Temperate,89.6597,89.6473880015097
2019,ssp245,Narrowbody,Temperate,83.2156,83.1353661805388
2019,ssp245,Widebody,Temperate,89.73095,89.6521547840876
2019,ssp370,Narrowbody,Temperate,83.2095,83.150911904615
2019,ssp370,Widebody,Temperate,89.73145,89.6697891269871
2019,ssp585,Narrowbody,Temperate,83.1649,83.1405927706709
2019,ssp585,Widebody,Temperate,89.6892,89.6584804964784
2020,ssp126,Narrowbody,Temperate,83.08825,83.1326111371584
2020,ssp126,Widebody,Temperate,89.60665,89.6501361263905
2020,ssp245,Narrowbody,Temperate,83.1261,83.136922576067
2020,ssp245,Widebody,Temperate,89.6498,89.6539515323576
2020,ssp370,Narrowbody,Temperate,83.15275,83.1516506612538
2020,ssp370,Widebody,Temperate,89.6711,89.6704750993067
2020,ssp585,Narrowbody,Temperate,83.13605,83.1419232053838
2020,ssp585,Widebody,Temperate,89.65985,89.6599523566099
2021,ssp126,Narrowbody,Temperate,83.0957,83.1352290008431
2021,ssp126,Widebody,Temperate,89.6162,89.6528282459913
2021,ssp245,Narrowbody,Temperate,83.15465,83.1385273963524
2021,ssp245,Widebody,Temperate,89.66905,89.6557877174418
2021,ssp370,Narrowbody,Temperate,83.13305,83.1525655944848
2021,ssp370,Widebody,Temperate,89.65805,89.6713388541068
2021,ssp585,Narrowbody,Temperate,83.14775,83.1434459122579
2021,ssp585,Widebody,Temperate,89.66135,89.6616064917933
2022,ssp126,Narrowbody,Temperate,83.1083,83.1377926044733
2022,ssp126,Widebody,Temperate,89.63195,89.6554631299178
2022,ssp245,Narrowbody,Temperate,83.1589,83.1401799111611
2022,ssp245,Widebody,Temperate,89.675,89.657662742815
2022,ssp370,Narrowbody,Temperate,83.13645,83.1536606023157
2022,ssp370,Widebody,Temperate,89.6547,89.672384538595
2022,ssp585,Narrowbody,Temperate,83.16075,83.1451645141806
2022,ssp585,Widebody,Temperate,89.6748,89.66344619869
2023,ssp126,Narrowbody,Temperate,83.181,83.1403008276948
2023,ssp126,Widebody,Temperate,89.69095,89.6580395477751
2023,ssp245,Narrowbody,Temperate,83.10465,83.1418793902589
2023,ssp245,Widebody,Temperate,89.6262,89.6595760119518
2023,ssp370,Narrowbody,Temperate,83.10775,83.154939582754
2023,ssp370,Widebody,Temperate,89.6307,89.6736162999785
2023,ssp585,Narrowbody,Temperate,83.1113,83.1470826340394
2023,ssp585,Widebody,Temperate,89.6272,89.6654747739616
2024,ssp126,Narrowbody,Temperate,83.1764,83.1427525501535
2024,ssp126,Widebody,Temperate,89.6891,89.6605562691688
2024,ssp245,Narrowbody,Temperate,83.16215,83.1436251034117
2024,ssp245,Widebody,Temperate,89.6787,89.6615269283268
2024,ssp370,Narrowbody,Temperate,83.1357,83.1564064338075
2024,ssp370,Widebody,Temperate,89.65305,89.6750382854648
2024,ssp585,Narrowbody,Temperate,83.1171,83.1492038947218
