year,ssp,zone,type,avg_todr,avg_thr,avg_pax_rem,avg_todr_loess,avg_thr_loess,avg_pax_rem_loess
2015,ssp126,Temperate,Narrowbody,2862.1574669967,0.87575614282599,10.0989085033364,2863.56751157246,0.876052853123602,10.1583472973087
2015,ssp126,Temperate,Widebody,3174.93716964286,0.933937573941964,19.592144524805,3173.78946934973,0.934361878514433,19.5196714302058
2015,ssp245,Temperate,Narrowbody,2862.23703795379,0.875869827258746,10.0973161581873,2862.35643293888,0.875849852321976,10.1299799080283
2015,ssp245,Temperate,Widebody,3170.14642602495,0.934153204390108,19.6638998759287,3172.18233447065,0.934051065654987,19.4519359696579
2015,ssp370,Temperate,Narrowbody,2861.72679307502,0.875975750273297,10.1737479500981,2863.21192176446,0.876087943181933,10.1701045670269
2015,ssp370,Temperate,Widebody,3165.91957257347,0.934311162027248,19.5398610976745,3171.29318951683,0.934376882397389,19.391526366014
2015,ssp585,Temperate,Narrowbody,2860.92781713345,0.876098070317628,10.2651959185177,2862.52431233509,0.875976763443196,10.1756119720311
2015,ssp585,Temperate,Widebody,3169.32063336307,0.934156908814541,19.3659272565443,3171.22924519676,0.934281381743077,19.5676475747236
2016,ssp126,Temperate,Narrowbody,2865.56886044591,0.876381491227077,10.2060239328379,2863.67875909882,0.876061925872504,10.1599877057695
2016,ssp126,Temperate,Widebody,3175.54742166518,0.93479410634351,19.5932704180327,3173.87901530799,0.934378352039761,19.5211502183324
2016,ssp245,Temperate,Narrowbody,2861.83730800991,0.875480022335525,10.0131728045502,2862.43075036447,0.875868073975489,10.1333621010173
2016,ssp245,Temperate,Widebody,3171.44546428572,0.933767356668392,19.2818837928674,3172.15743102305,0.934081585074776,19.4525703421444
2016,ssp370,Temperate,Narrowbody,2864.81879338844,0.875922341303356,10.0885490554213,2863.17969612829,0.876080402028284,10.1679318055965
2016,ssp370,Temperate,Widebody,3170.20403571428,0.934563822378572,19.6112782297968,3171.35243196775,0.934373258613677,19.3938859429726
2016,ssp585,Temperate,Narrowbody,2861.61495874587,0.875602855136634,10.0901107177668,2862.46968945439,0.875985370024982,10.1770907205686
2016,ssp585,Temperate,Widebody,3169.37222520107,0.93369925046613,19.1219983766232,3171.20177195684,0.934292279493408,19.570235558331
2017,ssp126,Temperate,Narrowbody,2862.93569306931,0.876221612240413,10.1843793442396,2863.78776028253,0.876071074828721,10.1616630848614
2017,ssp126,Temperate,Widebody,3174.4359391771,0.934494796637388,19.3992897857936,3173.96806288159,0.934394708549973,19.5226687744279
2017,ssp245,Temperate,Narrowbody,2861.42342126958,0.875896664351114,10.169818741384,2862.50447634791,0.8758860138753,10.1366958836951
2017,ssp245,Temperate,Widebody,3169.16090828139,0.934170177700268,19.6346276989284,3172.13488824308,0.934111576270042,19.4533471472769
2017,ssp370,Temperate,Narrowbody,2863.70665841584,0.876118497917318,10.1809801875877,2863.15412045605,0.876074013447507,10.1660214195547
2017,ssp370,Temperate,Widebody,3173.61962399284,0.934359390941271,19.3749494798979,3171.41289645352,0.93437103451524,19.3964837808431
2017,ssp585,Temperate,Narrowbody,2862.96267930751,0.876002588735111,10.2415791032872,2862.42229715799,0.875994699551421,10.1787351341973
2017,ssp585,Temperate,Widebody,3176.64102954342,0.934037713758909,19.6161593788987,3171.17895203624,0.93430406702469,19.5729814004441
2018,ssp126,Temperate,Narrowbody,2862.15691673537,0.875946753110296,10.1674002651922,2863.89457387142,0.876080325544402,10.1633806434493
2018,ssp126,Temperate,Widebody,3174.52583482944,0.933869621267953,19.0742835008048,3174.05675651394,0.934410969820394,19.5242395925241
2018,ssp245,Temperate,Narrowbody,2861.04192244224,0.875928730263614,10.1796930033952,2862.57743336313,0.87590365294534,10.1399771280626
2018,ssp245,Temperate,Widebody,3175.19957809695,0.933831722869659,19.3086836433067,3172.11429968141,0.934141032073191,19.4542985784716
2018,ssp370,Temperate,Narrowbody,2862.51623558485,0.876212675192504,10.2390676058532,2863.13529051321,0.876068803623881,10.1643806632522
2018,ssp370,Temperate,Widebody,3172.76294538944,0.934202944517904,19.2457952331368,3171.47440458278,0.934370246700408,19.399320674884
2018,ssp585,Temperate,Narrowbody,2863.39545379538,0.876210054443433,10.2127132137722,2862.38204135597,0.87600473914597,10.1805440652427
2018,ssp585,Temperate,Widebody,3174.0213470116,0.934631856548083,19.6781868138669,3171.16056733844,0.934316729750878,19.5758773416897
2019,ssp126,Temperate,Narrowbody,2863.63102310231,0.875875626936396,10.1349052771329,2863.99925861337,0.876089703571699,10.1651475903982
2019,ssp126,Temperate,Widebody,3174.8247368421,0.934222161633006,19.4461362603484,3174.14524064845,0.934427157626347,19.5258751666527
2019,ssp245,Temperate,Narrowbody,2862.34767710049,0.876079071756622,10.23830412816,2862.64944388406,0.875920972109539,10.143201706121
2019,ssp245,Temperate,Widebody,3174.80510752688,0.93396753440215,19.338455364613,3172.09525888874,0.934169945316626,19.4554568291444
2019,ssp370,Temperate,Narrowbody,2862.2211788953,0.876034345504782,10.129593758905,2863.12330206526,0.876064798741684,10.1630167910394
2019,ssp370,Temperate,Widebody,3170.72195535714,0.934255671894912,19.0754655188424,3171.53677796415,0.93437093176751,19.402397420354
2019,ssp585,Temperate,Narrowbody,2859.97555189457,0.876078292827891,10.2036550500199,2862.34882795843,0.876015475932087,10.18251636603
2019,ssp585,Temperate,Widebody,3164.72509751773,0.934573254259308,19.958414712715,3171.14639976691,0.934330253085931,19.5789156226941
2020,ssp126,Temperate,Narrowbody,2865.84999174236,0.876128346121966,10.1778585701985,2864.10187325621,0.876099234462762,10.1669711345731
