zone,exp,year,avg_tas,avg_rho,avg_hdw,loess_avg_tas,loess_avg_rho,loess_avg_hdw
Frigid,ssp126,2015,0,0,0,1.16763810966166,-0.00408374393049195,0.144826110485636
Frigid,ssp126,2016,0.304332682233962,0.00257378986418355,0.0981271550854688,1.1882933245814,-0.00424124003087278,0.149770435022009
Frigid,ssp126,2017,1.44618208295105,-0.00459312681703228,0.256850857977207,1.20932570447208,-0.00439950075478885,0.154568899697249
Frigid,ssp126,2018,2.8163580272402,-0.0110539372595255,0.0847108438258299,1.23064821010647,-0.00455815794749889,0.159224440010675
Frigid,ssp126,2019,1.20694328123005,-0.00785160533606688,0.136628863076675,1.25217380225729,-0.0047168434542616,0.163739991461605
Frigid,ssp126,2020,0.993504999655443,-0.00134480232792678,0.330591444693096,1.27381544169729,-0.00487518912033571,0.168118489549358
Frigid,ssp126,2021,-0.432737539391781,0.00297235585818045,0.172658681373426,1.29548608919921,-0.00503282679097992,0.172362869773253
Frigid,ssp126,2022,0.241485605348487,-0.000730441525297776,0.268547026585383,1.31709870553581,-0.00518938831145294,0.176476067632609
Frigid,ssp126,2023,1.81887240394582,-0.00823861172175255,0.290171071886259,1.33856625147981,-0.0053445055270135,0.180461018626743
Frigid,ssp126,2024,2.92033901229672,-0.0131709304211982,0.255633638518556,1.35980168780396,-0.0054978102829203,0.184320658254976
Frigid,ssp126,2025,2.34556122268145,-0.0151866578018063,-0.0746298147236972,1.38071797528102,-0.00564893442443206,0.188057922016625
Frigid,ssp126,2026,2.41796403046584,-0.00993468177065959,0.461398941023222,1.40125714767698,-0.00579778410698778,0.191674711934596
Frigid,ssp126,2027,2.07141742364433,-0.00513016981042092,0.277238410088228,1.42152221362918,-0.0059449186276371,0.195166772243143
Frigid,ssp126,2028,3.35642072140286,-0.0177413037602778,0.230840598848362,1.44166759621731,-0.0060909495440547,0.198527801758605
Frigid,ssp126,2029,0.986401099875366,-0.00328277271325139,0.12180162404081,1.46184771852108,-0.00623648841391527,0.201751499297324
Frigid,ssp126,2030,1.46748182660343,-0.00622522793641323,-0.00822649961807853,1.48221700362018,-0.00638214679489345,0.20483156367564
Frigid,ssp126,2031,0.208897252779309,0.00154472618649582,0.252955463363699,1.50292987459433,-0.00652853624466395,0.207761693709894
Frigid,ssp126,2032,1.24784879334726,-0.00455124555270081,0.10611250836495,1.52414075452322,-0.00667626832090142,0.210535588216427
Frigid,ssp126,2033,2.56943660812266,-0.0112594976350919,0.084479385890603,1.54600406648655,-0.00682595458128054,0.21314694601158
Frigid,ssp126,2034,1.84051171313655,-0.00842063948953498,0.167885902918292,1.56867423356403,-0.00697820658347599,0.215589465911693
Frigid,ssp126,2035,0.786602390476276,-0.0041119217814698,0.32995446950934,1.59230567883535,-0.00713363588516245,0.217856846733107
Frigid,ssp126,2036,1.87662374897172,-0.0072929121550076,0.182279835975174,1.61705282538023,-0.00729285404401457,0.219942787292162
Frigid,ssp126,2037,-0.355303062304245,0.000683212408540967,0.0808326624519249,1.64077744702733,-0.0074472398560776,0.221956142395084
Frigid,ssp126,2038,1.98748203876329,-0.00868532326360771,0.243150050403975,1.66177993375022,-0.00758998206453778,0.223988154935513
Frigid,ssp126,2039,3.11350786311414,-0.0185688291860819,0.462773359864584,1.68087263284592,-0.00772440714778133,0.22600610586091
Frigid,ssp126,2040,2.55174210672914,-0.0121050552466289,0.237859954767699,1.69886789161148,-0.00785384158419448,0.227977276118736
Frigid,ssp126,2041,1.38519047173168,-0.00240675598211992,0.146213673401927,1.71657805734392,-0.00798161185216346,0.229868946656455
Frigid,ssp126,2042,2.04515760680829,-0.011861516713203,0.110597686215515,1.73481547734028,-0.00811104443007448,0.231648398421527
Frigid,ssp126,2043,1.5009827226915,-0.00612559922174727,0.255836783631249,1.75439249889759,-0.00824546579631377,0.233282912361414
Frigid,ssp126,2044,2.48049977427064,-0.0103103984367412,0.279204612326826,1.77612146931288,-0.00838820242926756,0.234739769423578
Frigid,ssp126,2045,0.101353532168162,-0.000257598204895348,0.236207585154546,1.80081473588319,-0.00854258080732207,0.235986250555481
Frigid,ssp126,2046,1.34720477715996,-0.00558056557252495,0.338945299102678,1.82928464590554,-0.00871192740886352,0.236989636704586
Frigid,ssp126,2047,1.74878078536875,-0.00799181052504028,0.180139345222285,1.86234354667697,-0.00889956871227814,0.237717208818352
Frigid,ssp126,2048,2.1063541153294,-0.0114455670643785,0.25189925606108,1.90571854800679,-0.00913413496418747,0.238113065139221
Frigid,ssp126,2049,0.923063627508441,0.000269752705827075,0.030744165340431,1.96234038296202,-0.00943106247019348,0.238166112486477
