year,zone,variable,Narrowbody_ssp126,Narrowbody_ssp245,Narrowbody_ssp370,Narrowbody_ssp585,Widebody_ssp126,Widebody_ssp245,Widebody_ssp370,Widebody_ssp585
2100,Global,avg_todr_loe_dif,1.9,5.7,11.4,15.1,3,5.8,7.8,7.8
2100,Temperate,avg_todr_loe_dif,1.1,7.4,13.2,16.8,2.9,8.5,11.2,7.2
2100,Tropical,avg_todr_loe_dif,3.8,1.8,7,11.1,3.2,-1.6,-1.7,9.7
2100,Global,avg_thr_loe_dif,0,0.1,0.2,0.2,0,0.1,0.3,0.4
2100,Temperate,avg_thr_loe_dif,0,0.1,0.2,0.3,0,0.1,0.3,0.4
2100,Tropical,avg_thr_loe_dif,0,0.1,0.2,0.2,0,0.1,0.3,0.3
2100,Global,avg_pax_rem_loe_dif,0,0.2,0.4,0.5,0.1,0.3,1.1,1.2
2100,Temperate,avg_pax_rem_loe_dif,0,0.2,0.5,0.5,0,0.2,1,1.2
2100,Tropical,avg_pax_rem_loe_dif,0,0.1,0.3,0.3,0.4,0.7,1.5,1.1
