"","iata","icao","name","lat","lon","zone"
"73","LIS","LPPT","Humberto Delgado Airport (Lisbon Portela Airport)",38.7813,-9.13592,"Temperate"
"74","NKG","ZSNJ","Nanjing Lukou Airport",31.74200058,118.8619995,"Temperate"
"75","CPH","EKCH","Copenhagen Kastrup Airport",55.61790085,12.65600014,"Temperate"
"76","MAN","EGCC","Manchester Airport",53.349375,-2.279521,"Temperate"
"77","MXP","LIMC","Malpensa International Airport",45.6306,8.72811,"Temperate"
"78","PMI","LEPA","Palma De Mallorca Airport",39.55170059,2.738810062,"Temperate"
"79","CJU","RKPC","Jeju International Airport",33.51129913,126.4929962,"Temperate"
"80","HAN","VVNB","Noi Bai International Airport",21.221201,105.806999,"Tropical"
"81","STN","EGSS","London Stansted Airport",51.88499832,0.234999999,"Temperate"
"82","OSL","ENGM","Oslo Gardermoen Airport",60.19390106,11.10039997,"Temperate"
"83","XMN","ZSAM","Xiamen Gaoqi International Airport",24.54400063,118.1279984,"Temperate"
"84","CGO","ZHCC","Zhengzhou Xinzheng International Airport",34.5196991,113.8410034,"Temperate"
"85","BWI","KBWI","Baltimore/Washington International Thurgood Marshall Airport",39.1754,-76.668297,"Temperate"
"86","DUS","EDDL","Düsseldorf Airport",51.289501,6.76678,"Temperate"
"87","YVR","CYVR","Vancouver International Airport",49.19390106,-123.1839981,"Temperate"
"88","BRU","EBBR","Brussels Airport",50.90140152,4.48443985,"Temperate"
"89","SLC","KSLC","Salt Lake City International Airport",40.785749,-111.979746,"Temperate"
"90","WUH","ZHHH","Wuhan Tianhe International Airport",30.7838,114.208,"Temperate"
"91","ATH","LGAV","Eleftherios Venizelos International Airport",37.93640137,23.94449997,"Temperate"
"92","ARN","ESSA","Stockholm-Arlanda Airport",59.65190125,17.91860008,"Temperate"
"93","DME","UUDD","Domodedovo International Airport",55.40879822,37.90629959,"Temperate"
"94","SAN","KSAN","San Diego International Airport",32.73360062,-117.1900024,"Temperate"
